Date,Mosq
2013-06-19,0
2013-06-20,0
2013-06-21,17
2013-06-22,74
2013-06-23,70
2013-06-24,33
2013-06-25,76
2013-06-26,61
2013-06-27,135
2013-06-28,91
2013-06-29,74
2013-06-30,0
2013-07-01,94
2013-07-02,104
2013-07-03,72
2013-07-04,56
2013-07-05,59
2013-07-06,49
2013-07-07,40
2013-07-08,41
2013-07-09,39
2013-07-10,35
2013-07-12,58
2013-07-13,23
2013-07-14,23
2013-07-15,22
2013-07-16,40
2013-07-17,30
2013-07-18,23
2013-07-19,82
2013-07-20,729
2013-07-21,66
2013-07-22,62
2013-07-23,72
2013-07-24,49
2013-07-25,174
2013-07-26,49
2013-07-27,84
2013-07-28,26
2013-07-29,72
2013-07-30,31
2013-07-31,0
2013-08-01,0
2013-08-02,2
2013-08-03,51
2013-08-04,3774
2013-08-05,3371
2013-08-06,1299
2013-08-07,46
2013-08-08,100
2013-08-09,6431
2013-08-10,96
2013-08-11,3074
2013-08-12,822
2013-08-13,133
2013-08-14,500
2013-08-16,1260
2013-08-17,4848
2013-08-18,1745
2013-08-19,53
2013-08-20,62
2013-08-21,63
2013-08-22,33
2013-08-23,23
2013-08-24,34
2013-08-25,42
2013-08-26,52
2013-08-27,12
2013-08-28,19
2013-08-29,36
2013-08-30,14
2013-08-31,23
2013-09-01,27
2013-09-02,32
2013-09-04,24
2013-09-05,22
2013-09-06,26
2013-09-07,26
2013-09-08,34
2013-09-09,28
2013-09-10,33
2013-09-11,36
2013-09-12,14
2013-09-13,12
2013-09-14,28
2013-09-15,445
2013-09-16,43
2013-09-17,35
2013-09-18,28
2013-09-19,26
2013-09-20,31
2013-09-21,30
2013-09-22,29
2013-09-23,40
2013-09-24,21
2013-09-25,21
2013-09-26,20
2013-09-27,29
2013-09-28,22
2013-09-29,11
2013-09-30,14
2013-10-01,41
2013-10-02,55
2013-10-03,26
2013-10-04,31
2013-10-05,35
2013-10-06,33
2013-10-07,27
2013-10-08,20
2013-10-09,21
2013-10-10,49
2013-10-11,35
2013-10-12,27
2013-10-13,26
2013-10-14,23
2013-10-15,10
2013-10-16,4
2013-10-17,8
2013-10-18,4
2013-10-19,10
2013-10-20,21
2013-10-21,74
2013-10-22,27
2013-10-23,15
2013-10-24,25
2013-10-25,7
2013-10-26,3
2013-10-27,11
2013-10-28,7
2013-10-29,11
2013-10-30,7
2013-10-31,14
2013-11-01,20
2013-11-02,9
2013-11-03,12
2013-11-04,9
2013-11-05,1720
2013-11-06,15
2013-11-07,10
2013-11-08,8
2013-11-09,14
2013-11-10,2
2013-11-11,1
2013-11-12,1
2013-11-13,2
2013-11-14,3
2013-11-15,9
2013-11-16,2
2013-11-17,12
2013-11-18,2
2013-11-19,1
2013-11-20,1
2013-11-21,1
2013-11-22,0
2013-11-23,251
2013-11-24,2
2013-11-25,1
2013-11-26,0
2013-11-27,5
2013-11-28,0
2013-11-29,1
2013-11-30,2
2013-12-01,4
2013-12-02,0
2013-12-03,2
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,2
2013-12-08,0
2013-12-11,2
2013-12-12,13
2013-12-13,1
2013-12-14,393
2013-12-15,0
2014-05-01,53
2014-05-02,34
2014-05-03,105
2014-05-04,13
2014-05-05,9
2014-05-06,39
2014-05-07,22
2014-05-08,163
2014-05-09,31
2014-05-10,30
2014-05-11,27
2014-05-12,22
2014-05-13,57
2014-05-14,34
2014-05-15,11
2014-05-16,2
2014-05-17,16
2014-05-18,35
2014-05-19,16
2014-05-20,17
2014-05-21,13
2014-05-22,0
2014-05-23,0
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,0
2014-05-28,42
2014-05-29,106
2014-05-30,11
2014-05-31,18
2014-06-01,41
2014-06-02,31
2014-06-03,158
2014-06-04,252
2014-06-05,197
2014-06-06,25
2014-06-07,63
2014-06-08,38
2014-06-09,28
2014-06-10,19
2014-06-11,617
2014-06-12,157
2014-06-13,113
2014-06-14,4835
2014-06-15,25487
2014-06-16,30
2014-06-18,0
2014-06-19,9
2014-06-20,1
2014-06-21,6
2014-06-22,11
2014-06-23,5
2014-06-24,6
2014-06-25,8
2014-06-26,5
2014-06-27,12
2014-06-28,13
2014-06-29,10
2014-06-30,4
2014-07-01,5
2014-07-02,25
2014-07-03,21
2014-07-04,7
2014-07-05,13
2014-07-06,11
2014-07-07,34
2014-07-08,25
2014-07-09,15
2014-07-10,9
2014-07-11,22
2014-07-12,8
2014-07-13,15
2014-07-14,39
2014-07-15,13
2014-07-16,4
2014-07-17,16
2014-07-18,15
2014-07-19,15
2014-07-20,38
2014-07-21,28
2014-07-22,28
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,718
2014-08-04,5
2014-08-05,49
2014-08-06,0
2014-08-07,0
2014-08-08,32
2014-08-09,4
2014-08-10,7
2014-08-11,4
2014-08-12,25
2014-08-13,5
2014-08-14,9
2014-08-15,15
2014-08-16,9
2014-08-17,10
2014-08-18,98
2014-08-19,19
2014-08-20,29
2014-08-21,22
2014-08-22,11
2014-08-23,6
2014-08-24,6
2014-08-25,9
2014-08-26,10
2014-08-27,19
2014-08-28,132
2014-08-29,54
2014-08-30,22
2014-08-31,7
2014-09-01,12
2014-09-02,10
2014-09-03,12
2014-09-04,6
2014-09-05,10
2014-09-06,21
2014-09-07,19
