Date,Mosq
2013-06-19,0
2013-06-20,0
2013-06-21,8
2013-06-22,116
2013-06-23,67
2013-06-24,83
2013-06-25,79
2013-06-26,81
2013-06-27,92
2013-06-28,56
2013-06-29,90
2013-06-30,0
2013-07-01,47
2013-07-02,46
2013-07-03,62
2013-07-04,70
2013-07-05,30
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-20,0
2013-07-21,0
2013-07-22,0
2013-07-23,0
2013-07-24,76
2013-07-25,49
2013-07-26,16
2013-07-27,30
2013-07-28,33
2013-07-29,45
2013-07-30,41
2013-07-31,115
2013-08-01,23
2013-08-02,28
2013-08-03,34
2013-08-04,39
2013-08-05,50
2013-08-06,65
2013-08-07,38
2013-08-08,23
2013-08-09,28
2013-08-10,33
2013-08-11,29
2013-08-12,26
2013-08-13,16
2013-08-14,23
2013-08-16,7
2013-08-17,7
2013-08-18,17
2013-08-19,15
2013-08-20,115
2013-08-21,14
2013-08-22,14
2013-08-23,6
2013-08-24,13
2013-08-25,31
2013-08-26,22
2013-08-27,17
2013-08-28,19
2013-08-29,29
2013-08-30,41
2013-08-31,39
2013-09-01,23
2013-09-02,32
2013-09-04,14
2013-09-05,17
2013-09-06,27
2013-09-07,22
2013-09-08,19
2013-09-09,18
2013-09-10,25
2013-09-11,31
2013-09-12,30
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,6
2013-10-12,0
2013-10-13,0
2013-10-14,2
2013-10-15,14
2013-10-16,11
2013-10-17,14
2013-10-18,31
2013-10-19,31
2013-10-20,39
2013-10-21,22
2013-10-22,18
2013-10-23,28
2013-10-24,19
2013-10-25,6
2013-10-26,9
2013-10-27,28
2013-10-28,47
2013-10-29,68
2013-10-30,28
2013-10-31,32
2013-11-01,35
2013-11-02,39
2013-11-03,75
2013-11-04,74
2013-11-05,65
2013-11-06,77
2013-11-07,55
2013-11-08,63
2013-11-09,102
2013-11-10,10
2013-11-11,6
2013-11-12,3
2013-11-13,4
2013-11-14,11
2013-11-15,25
2013-11-16,24
2013-11-17,3
2013-11-18,1
2013-11-19,3
2013-11-20,3
2013-11-21,1
2013-11-22,0
2013-11-23,23
2013-11-24,20
2013-11-25,1
2013-11-26,0
2013-11-27,4
2013-11-28,0
2013-11-29,0
2013-11-30,5
2013-12-01,2
2013-12-02,0
2013-12-03,1
2013-12-04,4
2013-12-05,1
2013-12-06,0
2013-12-07,1
2013-12-08,1
2013-12-11,0
2013-12-12,23
2013-12-13,0
2013-12-14,280
2013-12-15,0
2014-05-19,0
2014-05-20,0
2014-05-21,0
2014-05-22,0
2014-05-23,49
2014-05-24,95
2014-05-25,101
2014-05-26,46
2014-05-27,119
2014-05-28,162
2014-05-29,126
2014-05-30,103
2014-05-31,86
2014-06-01,78
2014-06-02,82
2014-06-03,32
2014-06-04,56
2014-06-05,114
2014-06-06,97
2014-06-07,128
2014-06-08,97
2014-06-09,80
2014-06-10,104
2014-06-11,71
2014-06-12,62
2014-06-13,103
2014-06-14,147
2014-06-15,175
2014-06-16,116
2014-06-18,0
2014-06-19,41
2014-06-20,47
2014-06-21,25
2014-06-22,46
2014-06-23,48
2014-06-24,57
2014-06-25,70
2014-06-26,59
2014-06-27,61
2014-06-28,53
2014-06-29,54
2014-06-30,74
2014-07-01,83
2014-07-02,65
2014-07-03,43
2014-07-04,33
2014-07-05,64
2014-07-06,61
2014-07-07,79
2014-07-08,41
2014-07-09,32
2014-07-10,24
2014-07-11,15
2014-07-12,16
2014-07-13,18
2014-07-14,26
2014-07-15,31
2014-07-16,19
2014-07-17,18
2014-07-18,23
2014-07-19,29
2014-07-20,35
2014-07-21,48
2014-07-22,24
2014-07-23,42
2014-07-24,15
2014-07-25,495
2014-07-26,43
2014-07-27,37
2014-07-28,58
2014-07-29,43
2014-07-30,29
2014-07-31,26
2014-08-01,20
2014-08-02,11
2014-08-03,8
2014-08-04,13
2014-08-05,24
2014-08-06,12
2014-08-07,10
2014-08-08,13
2014-08-09,20
2014-08-10,22
2014-08-11,4
2014-08-12,20
2014-08-13,27
2014-08-14,25
2014-08-15,21
2014-08-16,38
2014-08-17,40
2014-08-18,15
2014-08-19,19
2014-08-20,33
2014-08-21,26
2014-08-22,25
2014-08-23,45
2014-08-24,47
2014-08-25,38
2014-08-26,34
2014-08-27,19
2014-08-28,36
2014-08-29,49
2014-08-30,25
2014-08-31,49
2014-09-01,61
2014-09-02,34
2014-09-03,18
2014-09-04,21
2014-09-05,52
2014-09-06,69
2014-09-07,55
2014-09-08,42
2014-09-09,53
2014-09-10,69
2014-09-11,51
2014-09-12,74
2014-09-13,49
2014-09-14,67
2014-09-15,59
2014-09-16,55
2014-09-17,57
2014-09-18,40
2014-09-19,45
2014-09-20,18
2014-09-21,30
2014-09-22,29
2014-09-23,22
2014-09-24,42
2014-09-25,50
2014-09-26,32
