Date,Mosq
2012-05-16,0
2012-05-17,3
2012-05-18,0
2012-05-19,1
2012-05-20,2
2012-05-21,0
2012-05-22,0
2012-05-23,1
2012-05-24,2
2012-05-25,0
2012-05-26,1
2012-05-27,1
2012-05-28,1
2012-05-29,0
2012-05-30,2
2012-05-31,2
2012-06-01,0
2012-06-02,0
2012-06-11,0
2012-06-12,3
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,1
2012-06-19,0
2012-06-20,0
2012-06-21,2
2012-06-22,0
2012-06-23,2
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,1
2012-06-30,1
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,3
2012-07-08,1
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,1
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,1
2012-07-20,0
2012-07-21,3
2012-07-22,0
2012-07-23,4
2012-07-24,4
2012-07-25,21
2012-07-26,3
2012-07-27,4
2012-07-28,2
2012-07-29,3
2012-07-30,0
2012-07-31,2
2012-08-01,4
2012-08-02,4
2012-08-04,2
2012-08-05,4
2012-08-06,0
2012-08-07,2
2012-08-08,0
2012-08-09,1
2012-08-10,1
2012-08-11,2
2012-08-12,0
2012-08-13,2
2012-08-14,9
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,2
2012-08-19,0
2012-08-20,2
2012-08-21,1
2012-08-22,2
2012-08-23,2
2012-08-24,1
2012-08-25,1
2012-08-26,1
2012-08-27,237
2012-08-28,1727
2012-08-29,0
2012-08-30,1
2012-08-31,130
2012-09-01,3
2012-09-02,3
2012-09-03,2
2012-09-04,1
2012-09-05,1
2012-09-06,1
2012-09-07,0
2012-09-08,1
2012-09-09,0
2012-09-10,1
2012-09-11,1
2012-09-12,8
2012-09-13,1
2012-09-14,1
2012-09-15,1
2012-09-16,2
2012-09-17,9
2012-09-18,1
2012-09-19,2
2012-09-20,0
2012-09-21,2
2012-09-22,4
2012-09-23,1
2012-09-24,4
2012-09-25,2
2012-09-26,1
2012-09-27,3
2012-09-28,24
2012-09-29,1
2012-09-30,1
2012-10-01,1
2012-10-02,0
2012-10-03,1
2012-10-04,0
2012-10-05,2
2012-10-06,2
2012-10-07,3
2012-10-08,0
2012-10-09,3
2012-10-10,1
2012-10-11,0
2012-10-12,0
2012-10-13,0
