Date,Mosq
2014-05-01,24
2014-05-02,32
2014-05-03,1
2014-05-04,20
2014-05-05,3
2014-05-06,6
2014-05-07,25
2014-05-08,33
2014-05-09,9
2014-05-10,18
2014-05-11,46
2014-05-12,44
2014-05-13,54
2014-05-14,107
2014-05-15,41
2014-05-16,3
2014-05-17,11
2014-05-18,76
2014-05-19,86
2014-05-20,26
2014-05-21,60
2014-05-22,99
2014-05-23,110
2014-05-24,95
2014-05-25,84
2014-05-26,55
2014-05-27,122
2014-05-28,167
2014-05-29,125
2014-05-30,91
2014-05-31,99
2014-06-01,120
2014-06-02,119
2014-06-03,110
2014-06-04,112
2014-06-05,163
2014-06-06,164
2014-06-07,220
2014-06-08,224
2014-06-09,267
2014-06-10,385
2014-06-11,574
2014-06-12,629
2014-06-13,60
2014-06-14,24
2014-06-15,24
2014-06-16,19
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,0
2015-01-01,0
2015-05-01,62
2015-05-02,72
2015-05-03,32
2015-05-04,46
2015-05-05,47
2015-05-06,33
2015-05-07,25
2015-05-08,15
2015-05-09,43
2015-05-10,35
2015-05-11,67
2015-05-12,93
2015-05-13,146
2015-05-14,146
2015-05-15,152
2015-05-16,106
2015-05-17,77
2015-05-18,60
2015-05-19,58
2015-05-20,68
2015-05-21,80
2015-05-26,57
2015-05-27,74
2015-05-28,115
2015-05-29,110
2015-05-30,27
2015-05-31,19
2015-06-01,19
2015-06-02,29
2015-06-03,37
2015-06-04,30
2015-06-05,16
2015-06-06,12
2015-06-07,26
2015-06-08,25
2015-06-09,44
2015-06-10,151
2015-06-11,296
2015-06-12,422
2015-06-13,219
2015-06-15,2776
2015-06-16,338
2015-06-17,295
2015-06-18,255
2015-06-19,187
2015-06-20,467
2015-06-21,322
2015-06-22,387
2015-06-23,396
2015-06-24,463
2015-06-25,501
2015-06-26,176
2015-06-27,173
2015-06-28,346
2015-06-29,437
2015-06-30,391
2015-07-01,497
2015-07-02,592
2015-07-03,578
2015-07-04,492
2015-07-05,672
2015-07-06,755
2015-07-07,770
2015-07-08,288
2015-07-09,218
2015-07-10,179
2015-07-11,30
2015-07-13,3
2015-07-14,5
2015-07-15,17
2015-07-16,12
2015-07-17,4
2015-07-18,6
2015-07-19,4
2015-07-20,2
2015-07-21,17
2015-07-22,34
2015-07-23,26
2015-08-12,6
2015-08-13,24
2015-08-14,11
2015-08-15,7
2015-08-17,3
2015-08-18,4
2015-08-19,13
2015-08-20,14
2015-08-21,23
2015-08-22,13
2015-08-23,17
2015-08-24,7
2015-08-25,2
2015-08-26,6
2015-08-27,18
2015-08-28,66
2015-08-29,211
2015-08-30,198
2015-08-31,236
2015-09-01,190
2015-09-02,106
2015-09-03,178
2015-09-04,225
2015-09-05,188
2015-09-06,103
2015-09-07,18
2015-09-08,2
2015-09-09,8
2015-09-10,5
2015-09-11,4
2015-09-12,5
2015-09-13,18
2015-09-14,15
2015-09-15,6
2015-09-16,2
2015-09-17,2
2015-09-18,7
2015-09-19,7
2015-09-20,10
2015-09-21,8
2015-09-22,6
2015-09-23,4
2015-09-24,27
2015-09-25,110
2015-09-26,97
2015-09-27,170
2015-09-28,95
2015-09-29,99
2015-09-30,63
2015-10-01,36
2015-10-02,39
2015-10-03,79
2015-10-04,75
2015-10-05,48
2015-10-06,40
2015-10-07,23
2015-10-08,21
2015-10-09,57
2015-10-10,15
2015-10-11,9
2015-10-12,17
2015-10-13,2
2015-10-14,2
2015-10-15,4
2015-10-16,1
2015-10-17,2
2015-10-18,2
2015-10-19,0
2015-10-20,1
2015-10-21,1
2015-10-22,1
2015-10-23,3
2015-10-24,1
2015-10-25,1
2015-10-26,0
2015-10-27,0
2015-10-28,1
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,1
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,1
2015-11-12,1
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,0
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,1
2015-11-23,0
2015-11-24,1
2015-11-25,0
2015-11-26,1
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,2
2015-12-31,0
