Date,Mosq
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,1
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-20,7
2011-05-21,5
2011-05-23,4
2011-05-24,4
2011-05-25,11
2011-05-26,8
2011-05-31,6
2011-06-01,3
2011-06-02,9
2011-06-03,8
2011-06-04,1
2011-06-05,7
2011-06-06,14
2011-06-07,23
2011-06-08,16
2011-06-09,8
2011-06-10,20
2011-06-11,5
2011-06-12,3
2011-06-13,6
2011-06-14,4
2011-06-15,12
2011-06-16,8
2011-06-17,11
2011-06-18,11
2011-06-19,9
2011-06-20,39
2011-06-21,5
2011-06-22,7
2011-06-23,20
2011-06-24,21
2011-06-25,30
2011-06-26,10
2011-06-27,44
2011-06-28,28
2011-06-29,2
2011-06-30,15
2011-07-01,7
2011-07-02,23
2011-07-03,11
2011-07-04,12
2011-07-05,8
2011-07-06,11
2011-07-07,15
2011-07-08,3
2011-07-09,10
2011-07-10,6
2011-07-11,6
2011-07-12,1
2011-07-13,7
2011-07-14,6
2011-07-15,5
2011-07-16,0
2011-07-17,5
2011-07-18,40
2011-07-19,26
2011-07-20,21
2011-07-21,15
2011-07-22,21
2011-07-23,4
2011-07-24,23
2011-07-25,17
2011-07-26,13
2011-07-27,1
2011-07-28,1
2011-07-29,4
2011-07-30,6
2011-07-31,14
2011-08-01,4
2011-08-02,6
2011-08-03,5
2011-08-04,0
2011-08-05,6
2011-08-06,7
2011-08-07,1
2011-08-08,4
2011-08-09,8
2011-08-10,10
2011-08-11,7
2011-08-12,1
2011-08-13,2
2011-08-14,3
2011-08-15,0
2011-08-16,1
2011-08-17,0
2011-08-18,1
2011-08-19,22
2011-08-20,3
2011-08-21,1
2011-08-22,5
2011-08-23,2
2011-08-24,9
2011-08-25,16
2011-08-26,9
2011-08-27,22
2011-08-28,1
2011-08-29,25
2011-08-30,33
2011-08-31,25
2011-09-01,34
2011-09-02,32
2011-09-03,21
2011-09-04,30
2011-09-05,32
2011-09-06,34
2011-09-07,25
2011-09-08,39
2011-09-09,40
2011-09-10,39
2011-09-11,61
2011-09-12,56
2011-09-13,61
2011-09-14,66
2011-09-15,27
2011-09-16,62
2011-09-17,50
2011-09-18,43
2011-09-19,26
2011-09-20,33
2011-09-21,46
2011-09-22,41
2011-09-23,30
2011-09-25,30
2011-09-26,49
2011-09-27,22
2011-09-28,20
2011-09-29,25
2011-09-30,23
2011-10-01,10
2011-10-02,15
2011-10-03,7
2011-10-04,11
2011-10-05,16
2011-10-06,22
2011-10-07,10
2011-10-08,11
2011-10-09,12
2011-10-10,9
2011-10-11,7
2011-10-12,9
2011-10-13,8
2011-10-14,6
2011-10-15,0
2011-10-16,0
2011-10-17,1
2011-10-18,1
2011-10-19,1
2011-10-20,3
2011-10-21,1
2011-10-22,4
2011-10-23,1
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,0
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-10-31,0
2012-05-06,2
2012-05-08,0
2012-05-09,30
2012-05-10,3
2012-05-11,0
2012-05-12,1
2012-05-13,1
2012-05-14,1
2012-05-15,2
2012-05-16,0
2012-05-17,1
2012-05-18,0
2012-05-19,0
2012-05-20,1
2012-05-21,0
2012-05-22,0
2012-05-23,3
2012-05-24,3
2012-05-25,3
2012-05-26,2
2012-05-27,0
2012-05-28,2
2012-05-29,1
2012-05-30,5
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,4
2012-06-04,5
2012-06-05,1
2012-06-06,0
2012-06-07,7
2012-06-08,0
2012-06-09,3
2012-06-10,5
2012-06-11,3
2012-06-12,1
2012-06-13,0
2012-06-14,2
2012-06-15,0
2012-06-16,1
2012-06-19,0
2012-06-20,1
2012-06-21,1
2012-06-22,1
2012-06-23,1
2012-06-24,0
2012-06-25,1
2012-06-26,0
2012-06-27,1
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,2
2012-07-05,0
2012-07-06,0
2012-07-07,1
2012-07-08,0
2012-07-09,2
2012-07-10,2
2012-07-11,0
2012-07-12,2
2012-07-16,3
2012-07-17,1
2012-07-18,1
2012-07-19,0
2012-07-20,0
2012-07-21,1
2012-07-22,0
2012-07-23,9
2012-07-24,45
2012-07-25,47
2012-07-27,68
2012-07-28,16
2012-07-29,28
2012-07-30,31
2012-07-31,27
2012-08-01,35
2012-08-03,1
2012-08-04,15
2012-08-05,41
2012-08-06,40
2012-08-07,21
2012-08-08,0
2012-08-09,26
2012-08-10,33
2012-08-11,46
2012-08-12,3
2012-08-13,47
2012-08-14,1
2012-08-15,45
2012-08-16,30
2012-08-17,50
2012-08-18,33
2012-08-19,33
2012-08-20,42
2012-08-21,74
2012-08-22,48
2012-08-23,30
2012-08-24,13
2012-08-25,2
2012-08-26,18
2012-08-27,24
2012-08-28,3
2012-08-29,14
2012-08-30,24
2012-08-31,27
2012-09-01,5
2012-09-02,40
2012-09-03,38
2012-09-04,26
2012-09-05,18
2012-09-06,17
2012-09-07,2
2012-09-08,13
2012-09-09,14
2012-09-10,19
2012-09-11,11
2012-09-12,0
2012-09-13,26
2012-09-14,106
2012-09-15,23
2012-09-16,24
2012-09-17,25
2012-09-18,23
2012-09-19,22
2012-09-20,23
2012-09-21,4
2012-09-22,21
2012-09-23,15
2012-09-24,14
2012-09-25,16
2012-09-26,11
2012-09-27,14
2012-09-28,9
2012-09-29,9
2012-09-30,6
2012-10-01,15
2012-10-02,14
2012-10-03,12
2012-10-04,8
2012-10-05,21
2012-10-06,20
2012-10-07,16
2012-10-08,6
2012-10-09,7
2012-10-10,12
2012-10-11,1
2012-10-12,8
2012-10-13,7
2012-10-14,6
2012-10-15,2
2013-06-19,0
2013-06-20,0
2013-06-21,14
2013-06-22,20
2013-06-23,0
2013-06-24,0
2013-06-25,0
2013-06-26,0
2013-06-27,7
2013-06-28,43
2013-06-29,0
2013-06-30,0
2013-07-01,4
2013-07-02,0
2013-07-03,25
2013-07-04,158
2013-07-05,60
2013-07-06,48
2013-07-07,61
2013-07-08,47
2013-07-09,48
2013-07-10,47
2013-07-12,20
2013-07-13,21
2013-07-14,42
2013-07-15,30
2013-07-16,34
2013-07-17,29
2013-07-18,38
2013-07-19,43
2013-07-20,146
2013-07-21,0
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,9
2013-07-26,35
2013-07-27,33
2013-07-28,28
2013-07-29,33
2013-07-30,27
2013-07-31,23
2013-08-01,25
2013-08-02,33
2013-08-03,38
2013-08-04,36
2013-08-05,43
2013-08-06,17
2013-08-07,0
2013-08-08,0
2013-08-09,0
2013-08-10,0
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,2
2013-08-23,12
2013-08-24,19
2013-08-25,31
2013-08-26,24
