Date,Mosq
2014-05-01,37
2014-05-02,37
2014-05-03,19
2014-05-04,35
2014-05-05,8
2014-05-06,19
2014-05-07,18
2014-05-08,27
2014-05-09,31
2014-05-10,19
2014-05-11,45
2014-05-12,32
2014-05-13,49
2014-05-14,87
2014-05-15,55
2014-05-16,52
2014-05-17,45
2014-05-18,45
2014-05-19,45
2014-05-20,30
2014-05-21,36
2014-05-22,34
2014-05-23,43
2014-05-24,47
2014-05-25,33
2014-05-26,9
2014-05-27,24
2014-05-28,42
2014-05-29,39
2014-05-30,27
2014-05-31,48
2014-06-01,42
2014-06-02,35
2014-06-03,29
2014-06-04,14
2014-06-05,3
2014-06-06,1
2014-06-07,4
2014-06-08,5
2014-06-09,31
2014-06-10,115
2014-06-11,207
2014-06-12,117
2014-06-13,128
2014-06-14,145
2014-06-15,4118
2014-06-16,996
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,0
2015-01-01,0
2015-05-01,25
2015-05-02,34
2015-05-03,29
2015-05-04,61
2015-05-05,22
2015-05-06,18
2015-05-07,26
2015-05-08,20
2015-05-09,19
2015-05-10,37
2015-05-11,110
2015-05-12,98
2015-05-13,159
2015-05-14,345
2015-05-15,272
2015-05-16,161
2015-05-17,163
2015-05-18,110
2015-05-19,70
2015-05-20,84
2015-05-21,20
2015-05-26,15
2015-05-27,12
2015-05-28,30
2015-05-29,31
2015-05-30,72
2015-05-31,28
2015-06-01,24
2015-06-02,20
2015-06-03,22
2015-06-04,22
2015-06-05,8
2015-06-06,17
2015-06-07,19
2015-06-08,16
2015-06-09,114
2015-06-10,411
2015-06-11,534
2015-06-12,394
2015-06-13,740
2015-06-15,248
2015-06-16,707
2015-06-17,895
2015-06-18,674
2015-06-19,1061
2015-06-20,847
2015-06-21,740
2015-06-22,963
2015-06-23,859
2015-06-24,591
2015-06-25,53
2015-06-26,21
2015-06-27,28
2015-06-28,20
2015-06-29,26
2015-06-30,316
2015-07-01,7012
2015-07-02,939
2015-07-03,777
2015-07-04,746
2015-07-05,773
2015-07-06,928
2015-07-07,629
2015-07-08,2386
2015-07-09,16
2015-07-10,20
2015-07-11,21
2015-07-13,4
2015-07-14,6
2015-07-15,19
2015-07-16,16
2015-07-17,10
2015-07-18,10
2015-07-19,10
2015-07-20,18
2015-07-21,14
2015-07-22,18
2015-07-23,10
2015-08-12,55
2015-08-13,191
2015-08-14,191
2015-08-15,100
2015-08-17,73
2015-08-18,25
2015-08-19,27
2015-08-20,35
2015-08-21,11
2015-08-22,10
2015-08-23,7
2015-08-24,12
2015-08-25,4
2015-08-26,4
2015-08-27,10
2015-08-28,47
2015-08-29,223
2015-08-30,274
2015-08-31,332
2015-09-01,613
2015-09-02,554
2015-09-03,253
2015-09-04,396
2015-09-05,342
2015-09-06,463
2015-09-07,397
2015-09-08,375
2015-09-09,276
2015-09-10,245
2015-09-11,112
2015-09-12,37
2015-09-13,5
2015-09-14,7
2015-09-15,14
2015-09-16,3
2015-09-17,2
2015-09-18,7
2015-09-19,3
2015-09-20,8
2015-09-21,6
2015-09-22,6
2015-09-23,6
2015-09-24,5
2015-09-25,83
2015-09-26,183
2015-09-27,198
2015-09-28,176
2015-09-29,139
2015-09-30,296
2015-10-01,116
2015-10-02,79
2015-10-03,127
2015-10-04,86
2015-10-05,75
2015-10-06,51
2015-10-07,42
2015-10-08,31
2015-10-09,2
2015-10-10,2
2015-10-11,0
2015-10-12,1
2015-10-13,1
2015-10-14,4
2015-10-15,3
2015-10-16,2
2015-10-17,1
2015-10-18,0
2015-10-19,3
2015-10-20,1
2015-10-21,3
2015-10-22,1
2015-10-23,1
2015-10-24,0
2015-10-25,3
2015-10-26,2
2015-10-27,1
2015-10-28,2
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,2
2015-11-04,0
2015-11-05,1
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,0
2015-11-18,1
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,0
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,1
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,0
2015-12-31,0
