Date,Mosq
2011-05-04,0
2011-05-05,0
2011-05-06,1
2011-05-07,0
2011-05-08,0
2011-05-09,2
2011-05-10,2
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,12
2011-05-16,0
2011-05-20,1
2011-05-21,19
2011-05-23,0
2011-05-24,265
2011-05-25,10
2011-05-26,6
2011-05-31,2
2011-06-01,16
2011-06-02,14
2011-06-03,5
2011-06-04,106
2011-06-05,13
2011-06-06,11
2011-06-07,31
2011-06-08,17
2011-06-09,22
2011-06-10,156
2011-06-11,4
2011-06-12,2
2011-06-13,0
2011-06-14,0
2011-06-15,9
2011-06-16,12
2011-06-17,23
2011-06-18,44
2011-06-19,38
2011-06-20,25
2011-06-21,1
2011-06-22,21
2011-06-23,14
2011-06-24,6
2011-06-25,18
2011-06-26,12
2011-06-27,21
2011-06-28,18
2011-06-29,45
2011-06-30,24
2011-07-01,27
2011-07-02,19
2011-07-03,79
2011-07-04,813
2011-07-05,8081
2011-07-06,7479
2011-07-07,11259
2011-07-08,10826
2011-07-09,5085
2011-07-10,7755
2011-07-11,1485
2011-07-12,6268
2011-07-13,3200
2011-07-14,4
2011-07-15,1
2011-07-16,5
2011-07-17,5
2011-07-18,11
2011-07-19,4
2011-07-20,5
2011-07-21,4
2011-07-22,1
2011-07-23,0
2011-07-24,6
2011-07-25,4
2011-07-26,6
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,4
2011-07-31,0
2011-08-01,0
2011-08-02,3
2011-08-03,23
2011-08-04,9
2011-08-05,8
2011-08-06,2
2011-08-07,3
2011-08-08,2
2011-08-09,7
2011-08-10,3
2011-08-11,3
2011-08-12,4
2011-08-13,5
2011-08-14,17
2011-08-15,6
2011-08-16,0
2011-08-17,0
2011-08-18,7
2011-08-19,7
2011-08-20,8
2011-08-21,3
2011-08-22,3
2011-08-23,2
2011-08-24,6
2011-08-25,3
2011-08-26,22
2011-08-27,17
2011-08-28,21
2011-08-29,30
2011-08-30,25
2011-08-31,13
2011-09-01,21
2011-09-02,31
2011-09-03,22
2011-09-04,40
2011-09-05,29
2011-09-06,34
2011-09-07,43
2011-09-08,25
2011-09-09,39
2011-09-10,22
2011-09-11,35
2011-09-12,35
2011-09-13,48
2011-09-14,50
2011-09-15,23
2011-09-16,30
2011-09-17,49
2011-09-18,47
2011-09-19,47
2011-09-20,39
2011-09-21,58
2011-09-22,71
2011-09-23,50
2011-09-24,19
2011-09-25,50
2011-09-26,44
2011-09-27,27
2011-09-28,9
2011-09-29,2
2011-09-30,4
2011-10-01,1
2011-10-02,2
2011-10-03,1
2011-10-04,0
2011-10-05,7
2011-10-06,26
2011-10-07,19
2011-10-08,17
2011-10-09,13
2011-10-10,9
2011-10-11,8
2011-10-12,6
2011-10-13,5
2011-10-14,11
2011-10-15,6
2011-10-16,0
2011-10-17,12
2011-10-18,2
2011-10-19,0
2011-10-20,8
2011-10-21,9
2011-10-22,15
2011-10-23,12
2011-10-24,7
2011-10-25,0
2011-10-26,1
2011-10-27,1
2011-10-28,2
2011-10-29,4
2011-10-30,2
2011-10-31,4
2012-05-06,0
2012-05-07,0
2012-05-08,1
2012-05-09,1
2012-05-10,1
2012-05-11,2
2012-05-12,2
2012-05-13,0
2012-05-14,0
2012-05-15,1
2012-05-16,0
2012-05-17,1
2012-05-18,3
2012-05-19,220
2012-05-20,1
2012-05-21,1
2012-05-22,1
2012-05-23,0
2012-05-24,1
2012-05-25,2
2012-05-26,1
2012-05-27,1
2012-05-28,2
2012-05-29,1
2012-05-30,1
2012-05-31,1
2012-06-01,2
2012-06-02,6
2012-06-03,4
2012-06-04,2
2012-06-05,2
2012-06-06,2
2012-06-07,0
2012-06-08,1
2012-06-09,1
2012-06-10,0
2012-06-11,6
2012-06-12,4
2012-06-13,2
2012-06-14,1
2012-06-15,1
2012-06-16,3
2012-06-17,2
2012-06-18,6
2012-06-19,6
2012-06-20,5
2012-06-21,4
2012-06-22,15
2012-06-23,9
2012-06-24,7
2012-06-25,8
2012-06-26,2
2012-06-27,3
2012-06-28,4
2012-06-29,5
2012-06-30,123
2012-07-01,3
2012-07-02,10
2012-07-03,5
2012-07-04,3
2012-07-05,1
2012-07-06,0
2012-07-07,20
2012-07-08,0
2012-07-09,4
2012-07-10,0
2012-07-11,0
2012-07-12,4
2012-07-13,6
2012-07-14,0
2012-07-15,1
2012-07-16,0
2012-07-17,3
2012-07-18,5
2012-07-19,40
2012-07-20,19
2012-07-21,55
2012-07-22,51
2012-07-23,20
2012-07-24,10
2012-07-25,10
2012-07-26,25
2012-07-27,20
2012-07-28,26
2012-07-29,21
2012-07-30,12
2012-07-31,22
2012-08-01,27
2012-08-02,17
2012-08-03,11
2012-08-04,8
2012-08-05,24
2012-08-06,21
2012-08-07,17
2012-08-08,3
2012-08-09,15
2012-08-10,11
2012-08-11,11
2012-08-12,13858
2012-08-13,12
2012-08-14,18
2012-08-15,5
2012-08-16,0
2012-08-17,7
2012-08-18,1
2012-08-19,5
2012-08-20,2
2012-08-21,2
2012-08-22,2
2012-08-23,3
2012-08-24,6
2012-08-25,8
2012-08-26,7
2012-08-27,3
2012-08-28,14
2012-08-29,6
2012-08-30,89
2012-08-31,206
2012-09-01,3
2012-09-02,9
2012-09-03,84
2012-09-04,21
2012-09-05,35
2012-09-06,2
2012-09-07,6
2012-09-08,3
2012-09-09,7
2012-09-10,78
2012-09-11,3
2012-09-12,8
2012-09-13,22
2012-09-14,12
2012-09-15,25
2012-09-16,101
2012-09-17,124
2012-09-18,5
2012-09-19,14
2012-09-20,11
2012-09-21,11
2012-09-22,12
2012-09-23,4
2012-09-24,21
2012-09-25,11
2012-09-26,11
2012-09-27,14
2012-09-28,12
2012-09-29,47
2012-09-30,33
2012-10-01,23
2012-10-02,21
2012-10-03,21
2012-10-04,24
2012-10-05,11
2012-10-06,11
2012-10-07,19
2012-10-08,12
2012-10-09,17
2012-10-10,11
2012-10-11,11
2012-10-12,6
2012-10-13,12
2012-10-14,16
2012-10-15,12
2013-06-19,0
2013-06-20,0
2013-06-21,403
2013-06-22,1115
2013-06-23,141
2013-06-24,148
2013-06-25,221
2013-06-26,165
2013-06-27,291
2013-06-28,263
2013-06-29,336
2013-06-30,0
2013-07-01,368
2013-07-02,376
2013-07-03,216
2013-07-04,386
2013-07-05,261
2013-07-06,270
2013-07-07,690
2013-07-08,402
2013-07-09,310
2013-07-10,402
2013-07-12,444
2013-07-13,329
2013-07-14,391
2013-07-15,77
2013-07-16,34
2013-07-17,16
2013-07-18,174
2013-07-19,118
2013-07-20,106
2013-07-21,112
2013-07-22,3495
2013-07-23,1373
2013-07-24,83
2013-07-25,114
2013-07-26,137
2013-07-27,191
2013-07-28,161
2013-07-29,265
2013-07-30,164
2013-07-31,355
2013-08-01,4974
2013-08-02,15755
2013-08-03,17747
2013-08-04,8759
2013-08-05,44759
2013-08-06,33957
2013-08-07,29187
2013-08-08,29139
2013-08-09,31453
2013-08-10,7450
2013-08-12,152
2013-08-13,412
2013-08-14,833
