Date,Mosq
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-20,10
2011-05-24,5
2011-05-25,8
2011-05-26,8
2011-05-31,18
2011-06-01,36
2011-06-02,7
2011-06-03,6
2011-06-04,6
2011-06-05,11
2011-06-06,0
2011-06-07,3
2011-06-08,23
2011-06-10,3
2011-06-11,6
2011-06-12,1
2011-06-13,2
2011-06-14,4
2011-06-15,25
2011-06-16,1
2011-06-17,34
2011-06-18,1
2011-06-19,1
2011-06-20,3
2011-06-21,1
2011-06-22,4
2011-06-23,3
2011-06-24,21
2011-06-25,35
2011-06-26,21
2011-06-27,41
2011-06-28,31
2011-06-29,0
2011-06-30,8
2011-07-01,7
2011-07-02,18
2011-07-03,12
2011-07-04,9
2011-07-05,14
2011-07-06,20
2011-07-07,26
2011-07-08,6
2011-07-09,2
2011-07-10,13
2011-07-11,385
2011-07-12,3
2011-07-13,3
2011-07-14,3
2011-07-15,4
2011-07-16,1
2011-07-17,2
2011-07-18,11
2011-07-19,54
2011-07-20,35
2011-07-21,52
2011-07-22,36
2011-07-23,11
2011-07-24,20
2011-07-25,21
2011-07-26,18
2011-07-27,9
2011-07-28,25
2011-07-29,11
2011-07-30,20
2011-07-31,46
2011-08-01,17
2011-08-02,24
2011-08-03,15
2011-08-04,4
2011-08-05,14
2011-08-06,6
2011-08-07,11
2011-08-08,6
2011-08-09,10
2011-08-10,0
2011-08-11,1
2011-08-12,4
2011-08-13,2
2011-08-14,4
2011-08-15,3
2011-08-16,1
2011-08-17,0
2011-08-18,5
2011-08-19,8
2011-08-20,6
2011-08-21,3
2011-08-22,2
2011-08-23,3
2011-08-24,17
2011-08-25,5
2011-08-26,55
2011-08-27,63
2011-08-28,75
2011-08-29,74
2011-08-30,46
2011-08-31,34
2011-09-01,52
2011-09-02,60
2011-09-03,81
2011-09-04,96
2011-09-05,76
2011-09-06,91
2011-09-07,119
2011-09-08,82
2011-09-09,88
2011-09-10,30
2011-09-11,116
2011-09-12,76
2011-09-13,111
2011-09-14,87
2011-09-15,47
2011-09-16,100
2011-09-17,100
2011-09-18,94
2011-09-19,103
2011-09-20,6
2011-09-21,61
2011-09-22,59
2011-09-23,70
2011-09-24,44
2011-09-25,68
2011-09-26,63
2011-09-27,60
2011-09-28,78
2011-09-29,59
2011-09-30,7
2011-10-01,0
2011-10-02,3
2011-10-03,1
2011-10-04,0
2011-10-05,0
2011-10-06,25
2011-10-07,23
2011-10-08,13
2011-10-09,5
2011-10-10,4
2011-10-11,5
2011-10-12,4
2011-10-13,4
2011-10-14,5
2011-10-15,2
2011-10-16,1
2011-10-17,6
2011-10-18,1
2011-10-19,4
2011-10-20,1
2011-10-21,2
2011-10-22,7
2011-10-23,0
2011-10-24,4
2011-10-25,0
2011-10-26,0
2011-10-27,1
2011-10-28,2
2011-10-29,4
2011-10-30,0
2011-10-31,2
2012-05-06,2
2012-05-07,1
2012-05-08,0
2012-05-09,7
2012-05-10,1
2012-05-11,6
2012-05-12,1
2012-05-13,5
2012-05-14,0
2012-05-15,1
2012-05-16,3
2012-05-17,5
2012-05-18,4
2012-05-19,2
2012-05-20,21
2012-05-21,3
2012-05-22,9
2012-05-23,0
2012-05-24,4
2012-05-25,4
2012-05-26,5
2012-05-27,8
2012-05-28,9
2012-05-29,8
2012-05-30,8
2012-05-31,6
2012-06-01,8
2012-06-02,8
2012-06-03,10
2012-06-04,9
2012-06-05,4
2012-06-06,3
2012-06-07,5
2012-06-08,4
2012-06-09,3
2012-06-10,3
2012-06-11,4
2012-06-12,7
2012-06-13,9
2012-06-14,4
2012-06-15,8
2012-06-16,5
2012-06-17,5
2012-06-18,20
2012-06-19,10
2012-06-20,13
2012-06-21,13
2012-06-22,16
2012-06-23,21
2012-06-24,25
2012-06-25,557
2012-06-26,7
2012-06-27,4
2012-06-28,1
2012-06-29,1
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,1
2012-07-05,0
2012-07-06,0
2012-07-07,3
2012-07-08,7
2012-07-09,8
2012-07-10,4
2012-07-11,6
2012-07-12,3
2012-07-13,2
2012-07-14,4
2012-07-15,1
2012-07-16,1
2012-07-17,0
2012-07-18,2
2012-07-19,3
2012-07-20,7
2012-07-21,2
2012-07-22,4
2012-07-23,4
2012-07-24,138
2012-07-25,65
2012-07-26,53
2012-07-27,81
2012-07-28,107
2012-07-29,79
2012-07-30,173
2012-07-31,100
2012-08-01,74
2012-08-02,117
2012-08-03,85
2012-08-04,95
2012-08-05,128
2012-08-06,116
2012-08-07,62
2012-08-08,104
2012-08-09,70
2012-08-10,20
2012-08-11,51
2012-08-12,60
2012-08-13,9
2012-08-14,107
2012-08-15,594
2012-08-16,0
2012-08-17,12
2012-08-18,24
2012-08-19,23
2012-08-20,48
2012-08-21,73
2012-08-22,11
2012-08-23,16
2012-08-24,31
2012-08-25,32
2012-08-26,38
2012-08-27,43
2012-08-28,6
2012-08-29,15
2012-08-30,24
2012-08-31,63
2012-09-01,30
2012-09-02,41
2012-09-03,36
2012-09-04,30
2012-09-05,28
2012-09-06,19
2012-09-07,10
2012-09-08,28
2012-09-09,28
2012-09-10,31
2012-09-11,20
2012-09-12,6
2012-09-13,14
2012-09-14,7
2012-09-15,24
2012-09-16,40
2012-09-17,27
2012-09-18,27
2012-09-19,39
2012-09-20,32
2012-09-21,41
2012-09-22,50
2012-09-23,39
2012-09-24,28
2012-09-25,34
2012-09-26,50
2012-09-27,42
2012-09-28,43
2012-09-29,40
2012-09-30,15
2012-10-01,19
2012-10-02,39
2012-10-03,38
2012-10-04,28
2012-10-05,21
2012-10-06,36
2012-10-07,106
2012-10-08,36
2012-10-09,31
2012-10-10,14
2012-10-11,19
2012-10-12,15
2012-10-13,15
2012-10-14,13
2012-10-15,32
2013-06-19,0
2013-06-20,8
2013-06-21,88
2013-06-22,119
2013-06-23,112
2013-06-24,96
2013-06-25,97
2013-06-26,96
2013-06-27,119
2013-06-28,132
2013-06-29,176
2013-06-30,0
2013-07-01,123
2013-07-02,201
2013-07-03,116
2013-07-04,168
2013-07-05,46
2013-07-06,1601
2013-07-07,43
2013-07-08,33
2013-07-09,29
2013-07-10,43
2013-07-12,32
2013-07-13,22
2013-07-14,23
2013-07-15,35
2013-07-16,37
2013-07-17,48
2013-07-18,18
2013-07-19,28
2013-07-20,30
2013-07-21,284
2013-07-22,35
2013-07-23,45
2013-07-24,33
2013-07-25,28
2013-07-26,30
2013-07-27,33
2013-07-28,27
2013-07-29,27
2013-07-30,16
2013-07-31,27
2013-08-01,20
2013-08-02,26
2013-08-03,36
2013-08-04,18
2013-08-05,27
2013-08-06,26
2013-08-07,32
2013-08-08,17
2013-08-09,23
2013-08-10,21
2013-08-12,18
2013-08-13,18
2013-08-14,11
2013-08-16,4
2013-08-17,13
2013-08-18,13
2013-08-19,42
2013-08-20,22
