Date,Mosq
2014-05-01,22
2014-05-02,6
2014-05-03,5
2014-05-04,6
2014-05-05,3
2014-05-06,5
2014-05-07,9
2014-05-08,14
2014-05-09,3
2014-05-10,10
2014-05-11,9
2014-05-12,3
2014-05-13,8
2014-05-14,17
2014-05-15,14
2014-05-16,10
2014-05-17,18
2014-05-18,31
2014-05-19,27
2014-05-20,10
2014-05-21,15
2014-05-22,16
2014-05-23,7
2014-05-24,4
2014-05-25,3
2014-05-26,2
2014-05-27,3
2014-05-28,6
2014-05-29,9
2014-05-30,3
2014-05-31,3
2014-06-01,1
2014-06-02,4
2014-06-03,2
2014-06-04,3
2014-06-05,4
2014-06-06,2
2014-06-07,6
2014-06-08,3
2014-06-09,13
2014-06-10,21
2014-06-11,8
2014-06-12,5
2014-06-13,13
2014-06-14,30
2014-06-15,36
2014-06-16,20
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,0
2015-01-01,1
2015-05-01,41
2015-05-02,27
2015-05-03,2
2015-05-04,25
2015-05-05,10
2015-05-06,9
2015-05-07,15
2015-05-08,8
2015-05-09,11
2015-05-10,13
2015-05-11,36
2015-05-12,38
2015-05-13,55
2015-05-14,48
2015-05-15,42
2015-05-16,50
2015-05-17,37
2015-05-18,28
2015-05-19,18
2015-05-20,51
2015-05-21,25
2015-05-26,26
2015-05-27,60
2015-05-28,64
2015-05-29,61
2015-05-30,32
2015-05-31,39
2015-06-01,37
2015-06-02,29
2015-06-03,24
2015-06-04,53
2015-06-05,33
2015-06-06,45
2015-06-07,50
2015-06-08,59
2015-06-09,104
2015-06-10,175
2015-06-11,210
2015-06-12,130
2015-06-13,152
2015-06-15,98
2015-06-16,208
2015-06-17,294
2015-06-18,158
2015-06-19,259
2015-06-20,224
2015-06-21,126
2015-06-22,240
2015-06-23,232
2015-06-24,198
2015-06-25,285
2015-06-26,126
2015-06-27,224
2015-06-28,270
2015-06-29,186
2015-06-30,141
2015-07-01,95
2015-07-02,148
2015-07-03,166
2015-07-04,242
2015-07-05,1270
2015-07-06,307
2015-07-07,392
2015-07-08,341
2015-07-09,371
2015-07-10,368
2015-07-11,297
2015-07-13,7
2015-07-14,62
2015-07-15,123
2015-07-16,162
2015-07-17,143
2015-07-18,118
2015-07-19,48
2015-07-20,88
2015-07-21,39
2015-07-22,24
2015-07-23,2
2015-08-12,1
2015-08-13,13
2015-08-14,10
2015-08-15,8
2015-08-17,3
2015-08-18,19
2015-08-19,11
2015-08-20,10
2015-08-21,7
2015-08-22,6
2015-08-23,6
2015-08-24,9
2015-08-25,3
2015-08-26,0
2015-08-27,5
2015-08-28,18
2015-08-29,21
2015-08-30,21
2015-08-31,47
2015-09-01,55
2015-09-02,30
2015-09-03,23
2015-09-04,24
2015-09-05,52
2015-09-06,191
2015-09-07,43
2015-09-08,36
2015-09-09,35
2015-09-10,42
2015-09-11,15
2015-09-12,15
2015-09-13,34
2015-09-14,35
2015-09-15,58
2015-09-16,40
2015-09-17,12
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,1
2015-09-22,2
2015-09-23,3
2015-09-24,16
2015-09-25,46
2015-09-26,25
2015-09-27,39
2015-09-28,21
2015-09-29,19
2015-09-30,33
2015-10-01,11
2015-10-02,3
2015-10-03,11
2015-10-04,6
2015-10-05,6
2015-10-06,12
2015-10-07,5
