Date,Mosq
2013-06-19,1
2013-06-20,1
2013-06-21,1
2013-06-22,7
2013-06-23,6
2013-06-24,7
2013-06-25,7
2013-06-26,7
2013-06-27,7
2013-06-28,7
2013-06-29,1
2013-06-30,1
2013-07-01,1
2013-07-02,1
2013-07-03,1
2013-07-04,1
2013-07-05,1
2013-07-06,1
2013-07-07,1
2013-07-08,1
2013-07-09,1
2013-07-10,1
2013-07-12,1
2013-07-13,1
2013-07-14,1
2013-07-15,1
2013-07-16,1
2013-07-17,1
2013-07-18,1
2013-07-19,2
2013-07-20,7
2013-07-21,6
2013-07-22,8
2013-07-23,6
2013-07-24,3
2013-07-25,6
2013-07-26,5
2013-07-27,5
2013-07-28,6
2013-07-29,5
2013-07-30,6
2013-07-31,6
2013-08-01,6
2013-08-02,7
2013-08-03,7
2013-08-04,7
2013-08-05,7
2013-08-06,7
2013-08-07,6
2013-08-08,5
2013-08-09,4
2013-08-10,4
2013-08-11,4
2013-08-12,4
2013-08-13,4
2013-08-14,5
2013-08-16,3
2013-08-17,6
2013-08-18,7
2013-08-19,6
2013-08-20,7
2013-08-21,6
2013-08-22,6
2013-08-23,5
2013-08-24,4
2013-08-25,4
2013-08-26,4
2013-08-27,4
2013-08-28,4
2013-08-29,5
2013-08-30,6
2013-08-31,5
2013-09-01,4
2013-09-02,4
2013-09-04,8
2013-09-05,4
2013-09-06,5
2013-09-07,5
2013-09-08,5
2013-09-09,6
2013-09-10,6
2013-09-11,5
2013-09-12,5
2013-09-13,1
2013-09-14,4
2013-09-15,5
2013-09-16,4
2013-09-17,6
2013-09-18,4
2013-09-19,4
2013-09-20,5
2013-09-21,5
2013-09-22,5
2013-09-23,5
2013-09-24,5
2013-09-25,5
2013-09-26,2
2013-09-27,4
2013-09-28,4
2013-09-29,3
2013-09-30,4
2013-10-01,5
2013-10-02,5
2013-10-03,5
2013-10-04,7
2013-10-05,5
2013-10-06,5
2013-10-07,5
2013-10-08,4
2013-10-09,4
2013-10-10,4
2013-10-11,6
2013-10-12,6
2013-10-13,5
2013-10-14,6
2013-10-15,6
2013-10-16,3
2013-10-17,3
2013-10-18,3
2013-10-19,3
2013-10-20,4
2013-10-21,4
2013-10-22,3
2013-10-23,3
2013-10-24,4
2013-10-25,2
2013-10-26,1
2013-10-27,2
2013-10-28,5
2013-10-29,2
2013-10-30,2
2013-10-31,2
2013-11-01,3
2013-11-02,3
2013-11-03,2
2013-11-04,3
2013-11-05,2
2013-11-06,3
2013-11-07,3
2013-11-08,2
2013-11-09,3
2013-11-10,1
2013-11-11,1
2013-11-12,1
2013-11-13,1
2013-11-14,1
2013-11-15,1
2013-11-16,1
2013-11-17,1
2013-11-18,1
2013-11-19,1
2013-11-20,1
2013-11-21,1
2013-11-22,1
2013-11-23,1
2013-11-24,1
2013-11-25,1
2013-11-26,1
2013-11-27,1
2013-11-28,1
2013-11-29,1
2013-11-30,1
2013-12-01,1
2013-12-02,1
2013-12-03,1
2013-12-04,1
2013-12-05,1
2013-12-06,1
2013-12-07,1
2013-12-08,1
2013-12-11,1
2013-12-12,1
2013-12-13,1
2013-12-14,4
2013-12-15,1
2014-05-01,3
2014-05-02,3
2014-05-03,3
2014-05-04,3
2014-05-05,2
2014-05-06,2
2014-05-07,3
2014-05-08,3
2014-05-09,2
2014-05-10,3
2014-05-11,3
2014-05-12,4
2014-05-13,4
2014-05-14,4
2014-05-15,4
2014-05-16,4
2014-05-17,5
2014-05-18,8
2014-05-19,4
2014-05-20,4
2014-05-21,5
2014-05-22,5
2014-05-23,5
2014-05-24,5
2014-05-25,5
2014-05-26,4
2014-05-27,5
2014-05-28,7
2014-05-29,5
2014-05-30,6
2014-05-31,6
2014-06-01,6
2014-06-02,6
2014-06-03,6
2014-06-04,6
2014-06-05,6
2014-06-06,6
2014-06-07,7
2014-06-08,7
2014-06-09,7
2014-06-10,6
2014-06-11,6
2014-06-12,5
2014-06-13,8
2014-06-14,7
2014-06-15,7
2014-06-16,6
2014-06-18,1
2014-06-19,6
2014-06-20,6
2014-06-21,6
2014-06-22,6
2014-06-23,6
2014-06-24,5
2014-06-25,6
2014-06-26,7
2014-06-27,7
2014-06-28,7
2014-06-29,7
2014-06-30,7
2014-07-01,7
2014-07-02,7
2014-07-03,6
2014-07-04,6
2014-07-05,7
2014-07-06,7
2014-07-07,6
2014-07-08,6
2014-07-09,6
2014-07-10,6
2014-07-11,7
2014-07-12,7
2014-07-13,7
2014-07-14,8
2014-07-15,7
2014-07-16,7
2014-07-17,7
2014-07-18,6
2014-07-19,6
2014-07-20,7
2014-07-21,7
2014-07-22,7
2014-07-23,6
2014-07-24,6
2014-07-25,5
2014-07-26,6
2014-07-27,6
2014-07-28,6
2014-07-29,6
2014-07-30,5
2014-07-31,5
2014-08-01,6
2014-08-02,5
2014-08-03,4
2014-08-04,5
2014-08-05,5
2014-08-06,6
2014-08-07,5
2014-08-08,6
2014-08-09,6
2014-08-10,8
2014-08-11,7
2014-08-12,5
2014-08-13,6
2014-08-14,5
2014-08-15,5
2014-08-16,5
2014-08-17,6
2014-08-18,5
2014-08-19,5
2014-08-20,5
2014-08-21,6
2014-08-22,5
2014-08-23,5
2014-08-24,5
2014-08-25,6
2014-08-26,5
2014-08-27,4
2014-08-28,5
2014-08-29,5
2014-08-30,5
2014-08-31,5
