Date,Mosq
2012-05-16,1
2012-05-17,1
2012-05-18,1
2012-05-19,1
2012-05-20,1
2012-05-21,1
2012-05-22,1
2012-05-23,1
2012-05-24,1
2012-05-25,1
2012-05-26,1
2012-05-27,1
2012-05-28,1
2012-05-29,1
2012-05-30,1
2012-05-31,1
2012-06-01,1
2012-06-02,1
2012-06-11,1
2012-06-12,1
2012-06-13,1
2012-06-14,1
2012-06-15,1
2012-06-16,1
2012-06-17,1
2012-06-18,1
2012-06-19,1
2012-06-20,1
2012-06-21,1
2012-06-22,1
2012-06-23,1
2012-06-24,1
2012-06-25,1
2012-06-26,1
2012-06-27,1
2012-06-28,1
2012-06-29,1
2012-06-30,1
2012-07-01,1
2012-07-02,1
2012-07-03,1
2012-07-04,1
2012-07-05,1
2012-07-06,1
2012-07-07,1
2012-07-08,1
2012-07-09,1
2012-07-10,1
2012-07-11,1
2012-07-12,1
2012-07-13,1
2012-07-14,1
2012-07-15,1
2012-07-16,1
2012-07-17,1
2012-07-18,1
2012-07-19,1
2012-07-20,1
2012-07-21,1
2012-07-22,1
2012-07-23,1
2012-07-24,1
2012-07-25,2
2012-07-26,1
2012-07-27,1
2012-07-28,1
2012-07-29,1
2012-07-30,1
2012-07-31,1
2012-08-01,1
2012-08-02,1
2012-08-04,1
2012-08-05,1
2012-08-06,1
2012-08-07,1
2012-08-08,1
2012-08-09,1
2012-08-10,1
2012-08-11,1
2012-08-12,1
2012-08-13,1
2012-08-14,1
2012-08-15,1
2012-08-16,1
2012-08-17,1
2012-08-18,1
2012-08-19,1
2012-08-20,1
2012-08-21,1
2012-08-22,1
2012-08-23,1
2012-08-24,1
2012-08-25,1
2012-08-26,1
2012-08-27,5
2012-08-28,8
2012-08-29,1
2012-08-30,1
2012-08-31,4
2012-09-01,1
2012-09-02,1
2012-09-03,1
2012-09-04,1
2012-09-05,1
2012-09-06,1
2012-09-07,1
2012-09-08,1
2012-09-09,1
2012-09-10,1
2012-09-11,1
2012-09-12,1
2012-09-13,1
2012-09-14,1
2012-09-15,1
2012-09-16,1
2012-09-17,1
2012-09-18,1
2012-09-19,1
2012-09-20,1
2012-09-21,1
2012-09-22,1
2012-09-23,1
2012-09-24,1
2012-09-25,1
2012-09-26,1
2012-09-27,1
2012-09-28,2
2012-09-29,1
2012-09-30,1
2012-10-01,1
2012-10-02,1
2012-10-03,1
2012-10-04,1
2012-10-05,1
2012-10-06,1
2012-10-07,1
2012-10-08,1
2012-10-09,1
2012-10-10,1
2012-10-11,1
2012-10-12,1
2012-10-13,1
2012-10-14,1
2012-10-15,1
2013-06-19,1
2013-06-20,1
2013-06-21,1
2013-06-22,4
2013-06-23,2
2013-06-24,4
2013-06-25,2
2013-06-26,3
2013-06-27,3
2013-06-28,1
2013-06-29,2
2013-06-30,1
2013-07-01,2
2013-07-02,1
2013-07-03,8
2013-07-04,8
2013-07-05,2
2013-07-06,5
2013-07-07,1
2013-07-08,1
2013-07-09,1
2013-07-10,2
2013-07-12,1
2013-07-13,2
2013-07-14,3
2013-07-15,2
2013-07-16,3
2013-07-17,1
2013-07-18,1
2013-07-19,1
2013-07-20,1
2013-07-21,1
2013-07-22,1
2013-07-23,1
2013-07-24,1
2013-07-25,1
2013-07-26,1
2013-07-27,1
2013-07-28,1
2013-07-29,2
2013-07-30,1
2013-07-31,2
2013-08-01,1
2013-08-02,1
2013-08-03,1
2013-08-04,1
2013-08-05,1
2013-08-06,2
2013-08-07,1
2013-08-08,1
2013-08-09,1
2013-08-10,1
2013-08-11,2
2013-08-12,2
2013-08-13,1
2013-08-14,1
2013-08-16,1
2013-08-17,1
2013-08-18,1
2013-08-19,1
2013-08-20,1
2013-08-21,1
2013-08-22,1
2013-08-23,1
2013-08-24,2
2013-08-25,1
2013-08-26,3
2013-08-27,2
2013-08-28,2
2013-08-29,1
2013-08-30,2
2013-08-31,6
2013-09-01,2
2013-09-02,2
2013-09-04,1
2013-09-05,1
2013-09-06,1
2013-09-07,1
2013-09-08,1
2013-09-09,1
2013-09-10,1
2013-09-11,1
2013-09-12,1
2013-09-13,1
2013-09-14,1
2013-09-15,1
2013-09-16,1
2013-09-17,1
2013-09-18,1
2013-09-19,1
2013-09-20,3
2013-09-21,1
2013-09-22,1
2013-09-23,1
2013-09-24,1
2013-09-25,1
2013-09-26,1
2013-09-27,1
2013-09-28,1
2013-09-29,1
2013-09-30,1
2013-10-01,1
2013-10-02,1
2013-10-03,1
2013-10-04,1
2013-10-05,1
2013-10-06,1
2013-10-07,1
2013-10-08,1
2013-10-09,1
2013-10-10,1
2013-10-11,1
2013-10-12,1
2013-10-13,2
2013-10-14,5
2013-10-15,1
2013-10-16,1
2013-10-17,1
2013-10-18,1
2013-10-19,1
2013-10-20,2
2013-10-21,1
2013-10-22,1
2013-10-23,1
2013-10-24,1
2013-10-25,1
2013-10-26,1
2013-10-27,1
2013-10-28,1
2013-10-29,1
2013-10-30,1
2013-10-31,1
2013-11-01,1
2013-11-02,1
2013-11-03,1
2013-11-04,1
2013-11-05,1
2013-11-06,1
2013-11-07,1
2013-11-08,1
2013-11-09,3
2013-11-10,3
2013-11-11,1
2013-11-12,1
2013-11-13,5
2013-11-14,1
2013-11-15,1
2013-11-16,1
2013-11-17,1
2013-11-18,1
2013-11-19,1
2013-11-20,1
2013-11-21,1
2013-11-22,1
2013-11-23,1
2013-11-24,1
2013-11-25,1
2013-11-26,1
2013-11-27,1
2013-11-28,1
2013-11-29,1
2013-11-30,1
2013-12-01,1
2013-12-02,1
2013-12-03,1
2013-12-04,1
2013-12-05,1
2013-12-06,1
2013-12-07,1
2013-12-08,1
2013-12-11,1
2013-12-12,1
2013-12-13,1
2013-12-14,4
2013-12-15,1
2014-05-01,3
2014-05-02,1
2014-05-03,1
2014-05-04,1
2014-05-05,1
2014-05-06,1
2014-05-07,1
2014-05-08,1
2014-05-09,2
2014-05-10,2
2014-05-11,2
2014-05-12,2
2014-05-13,1
2014-05-14,1
2014-05-15,1
2014-05-16,1
2014-05-17,4
2014-05-18,2
2014-05-19,2
2014-05-20,5
2014-05-21,4
2014-05-22,1
2014-05-23,1
2014-05-24,1
2014-05-25,1
2014-05-26,1
2014-05-27,1
2014-05-28,2
2014-05-29,2
2014-05-30,1
2014-05-31,1
2014-06-01,1
2014-06-02,1
2014-06-03,2
2014-06-04,1
2014-06-05,2
2014-06-06,3
2014-06-07,3
2014-06-08,2
2014-06-09,2
2014-06-10,2
2014-06-11,2
2014-06-12,2
2014-06-13,2
2014-06-14,1
2014-06-15,1
2014-06-16,1
2014-06-18,1
2014-06-19,7
2014-06-20,4
2014-06-21,3
2014-06-22,3
2014-06-23,3
2014-06-24,3
2014-06-25,3
2014-06-26,3
2014-06-27,3
2014-06-28,2
2014-06-29,3
2014-06-30,5
2014-07-01,4
2014-07-02,4
2014-07-03,5
2014-07-04,3
2014-07-05,3
2014-07-06,4
2014-07-07,4
2014-07-08,4
2014-07-09,4
2014-07-10,4
2014-07-11,3
2014-07-12,1
2014-07-13,1
2014-07-14,1
2014-07-15,1
2014-07-16,1
2014-07-17,1
2014-07-18,4
2014-07-19,4
2014-07-20,4
2014-07-21,6
2014-07-22,4
2014-07-23,3
2014-07-24,5
2014-07-25,4
2014-07-26,1
2014-07-27,3
2014-07-28,5
2014-07-29,4
2014-07-30,4
2014-07-31,3
2014-08-01,3
2014-08-02,2
2014-08-03,2
2014-08-04,4
2014-08-05,2
2014-08-06,3
2014-08-07,1
2014-08-08,1
2014-08-09,1
2014-08-10,1
2014-08-11,1
2014-08-12,3
2014-08-13,1
2014-08-14,3
2014-08-15,2
2014-08-16,3
2014-08-17,3
2014-08-18,3
2014-08-19,3
2014-08-20,3
2014-08-21,1
2014-08-22,2
2014-08-23,3
2014-08-24,3
2014-08-25,3
2014-08-26,2
2014-08-27,2
2014-08-28,2
2014-08-29,3
2014-08-30,3
2014-08-31,3
2014-09-01,4
2014-09-02,3
2014-09-03,3
2014-09-04,1
2014-09-05,1
2014-09-06,1
2014-09-07,1
2014-09-08,1
2014-09-09,1
2014-09-10,1
2014-09-11,1
2014-09-12,1
2014-09-13,1
2014-09-14,1
2014-09-15,1
2014-09-16,1
2014-09-17,1
2014-09-18,2
2014-09-19,1
2014-09-20,3
2014-09-21,3
2014-09-22,2
2014-09-23,3
2014-09-24,3
2014-09-25,3
2014-09-26,4
2014-09-27,5
2014-09-28,6
2014-09-29,5
2014-09-30,3
2014-10-01,2
2014-10-02,3
2014-10-03,1
2014-10-04,1
2014-10-05,1
2014-10-06,2
2014-10-07,2
2014-10-08,1
2014-10-09,2
2014-10-10,3
2014-10-11,1
2014-10-12,1
2014-10-13,1
2014-10-14,1
2014-10-15,1
2014-10-16,1
2014-10-17,1
2014-10-18,1
2014-10-19,1
2014-10-20,2
2014-10-21,1
2014-10-22,1
2014-10-23,1
2014-10-24,1
2014-10-25,1
2014-10-26,1
2014-10-27,1
2014-10-28,1
2014-10-29,1
2014-10-30,1
2014-10-31,1
2014-11-01,1
2014-11-02,1
2014-11-03,1
2014-11-04,1
