Date,Location,Hum,Hum5,Hum10,Hum15,Hum20,Hum25,Hum30,Raf,Raf5,Raf10,Raf15,Raf20,Raf25,Raf30,RfD,RfD5,RfD10,RfD15,RfD20,RfD25,RfD30,Tav,Tav5,Tav10,Tav15,Tav20,Tav25,Tav30,Tmi,Tmi5,Tmi10,Tmi15,Tmi20,Tmi25,Tmi30,Tmx,Tmx5,Tmx10,Tmx15,Tmx20,Tmx25,Tmx30,LandUse,Mosq
2012.5.17,Congress,0.566,0.6272,0.5203,0.496333333,0.4827,0.53016,0.5011,6,8,8,8,8,43.5,92.5,1,2,2,2,2,4,6,16.5,87.1,184.6,285.7,385.3,456.3,520.1,12.7,70.2,142.2,221.4,291.4,340.6,385.9,20.6,109,236.3,367.2,496.2,595,683.5,2,0
2012.5.18,Congress,0.514,0.6246,0.5436,0.502533333,0.495,0.51624,0.5092,0,14,14,14,14,41,98.5,0,2,2,2,2,4,6,18.4,86,182.2,278.3,385.9,462.9,521.2,11.8,68.6,142.4,214.5,295.6,344.9,389.6,24.3,107.8,231.7,358,493.9,603.1,682.4,2,3
2012.5.19,Congress,0.38,0.6214,0.5675,0.500933333,0.4995,0.50396,0.514966667,0,14,14,14,14,41,98.5,0,1,2,2,2,4,6,20.1,85.2,179.9,276.1,386.6,467.7,522.3,13.5,65.5,139.2,209.2,293.3,347,389.1,25.3,107.2,227.8,356.2,495.9,608.6,681.7,2,2
2012.5.20,Congress,0.391,0.5398,0.5601,0.493733333,0.48995,0.49504,0.514666667,0,6,14,14,14,41,98.5,0,1,2,2,2,3,5,21.4,89,179.8,276.3,386.4,468,523.3,15,63.6,138.4,207.2,292.3,348.2,388.6,28.2,114.4,226,355.8,495.2,606.9,682.6,2,0
2012.5.21,Congress,0.348,0.4874,0.5541,0.491533333,0.48785,0.48156,0.5035,0,6,14,14,14,15.5,49.5,0,1,2,2,2,2,4,23.5,93.3,180.5,279.2,384.9,473.9,532.7,17.8,65.8,137.7,208.5,292.2,353.4,393.6,29.1,120.6,227.4,358.9,493.8,612.2,693.4,2,5
2012.5.22,Congress,0.346,0.4398,0.5335,0.493466667,0.4822,0.47412,0.484633333,0,6,14,14,14,14,41,0,0,2,2,2,2,4,23.6,99.9,187,284.5,385.6,485.2,546.3,18.1,70.8,141,213,292.2,362.2,403,29.3,127.5,236.5,363.8,494.7,623.7,710,2,6
2012.5.23,Congress,0.395,0.3958,0.5102,0.494333333,0.47585,0.47516,0.4688,0,0,14,14,14,14,41,0,0,2,2,2,2,4,21.9,107,193,289.2,385.3,492.9,556.3,17.7,76.2,144.8,218.6,290.7,371.8,411.4,27.9,136.2,244,367.9,494.2,630.1,720.5,2,5
2012.5.24,Congress,0.53,0.372,0.4967,0.502333333,0.4687,0.474,0.461866667,0,0,14,14,14,14,41,0,0,1,2,2,2,3,19.7,110.5,195.7,290.4,386.6,497.1,558.4,16.6,82.1,147.6,221.3,291.3,375.4,416.8,24.1,139.8,247,367.6,496,635.7,721.4,2,2
2012.5.25,Congress,0.454,0.402,0.4709,0.5074,0.4708,0.47236,0.455266667,0,0,6,14,14,14,15.5,0,0,1,2,2,2,2,20.3,110.1,199.1,289.9,386.4,496.5,562.6,16.4,85.2,148.8,223.6,292.4,377.5,423.6,26.4,138.6,253,364.6,494.4,633.8,722.6,2,5
2012.5.26,Congress,0.448,0.4146,0.451,0.5076,0.4723,0.4732,0.4526,0,0,6,14,14,14,14,0,0,1,2,2,2,2,20,109,202.3,289.5,388.2,493.9,570.7,13.8,86.6,152.4,224.3,295.1,378.8,431,26.5,136.8,257.4,364.2,495.7,630.6,731.4,2,0
2012.5.27,Congress,0.656,0.4346,0.4372,0.500533333,0.47875,0.47268,0.456866667,1,0,6,14,14,14,14,1,1,1,3,3,3,3,19.6,105.5,205.4,292.5,390,491.1,574.8,17.1,82.6,153.4,223.6,295.6,374.8,436.3,23.7,134.2,261.7,370.7,498,628.9,735,2,2
2012.5.28,Congress,0.58,0.4966,0.4462,0.505666667,0.4949,0.48,0.4646,5.5,1,1,15,15,15,15,1,2,2,4,4,4,4,20.6,101.5,208.5,294.5,390.7,486.8,576.7,16.5,81.6,157.8,226.4,300.2,372.3,439.3,25.7,128.6,264.8,372.6,496.5,622.8,736.4,2,2
2012.5.29,Congress,0.408,0.5336,0.4528,0.509,0.51015,0.48168,0.4649,0,6.5,6.5,20.5,20.5,20.5,20.5,0,2,2,3,4,4,4,21.6,100.2,210.7,295.9,390.6,486.8,577,18.7,80.4,162.5,228,301.7,371.7,441.3,24.8,126.4,266.2,373.4,494,622.4,736.1,2,9
