Date,Location,Hum,Hum5,Hum10,Hum15,Hum20,Hum25,Hum30,Raf,Raf5,Raf10,Raf15,Raf20,Raf25,Raf30,RfD,RfD5,RfD10,RfD15,RfD20,RfD25,RfD30,Tav,Tav5,Tav10,Tav15,Tav20,Tav25,Tav30,Tmi,Tmi5,Tmi10,Tmi15,Tmi20,Tmi25,Tmi30,Tmx,Tmx5,Tmx10,Tmx15,Tmx20,Tmx25,Tmx30,LandUse,Mosq
2011.5.5,YeongDeungPo/Park,35.9,311.7,633.4,917.1,1182,1396.6,1626.9,0,82.5,90,112,115.5,116.5,126,0,0,4,5,6,6,8,18.3,59.8,119,175.1,230.7,287.3,330.4,13.1,52.4,93.7,130.8,168.6,203.1,231.7,24.4,96.6,174.3,255.2,340.3,423.5,484.9,1,0
2011.5.6,YeongDeungPo/Park,63.3,254,608.3,903.7,1140.8,1377.1,1631.7,1.5,0,90,112,115.5,115.5,126,1,1,4,6,7,7,8,16.2,78.1,125.6,182,236.1,294.2,337.7,14.2,54.1,99.8,137.8,172,207.3,239.3,18.7,105.6,182.2,262.1,344.8,432.1,492.4,1,0
2011.5.7,YeongDeungPo/Park,80.6,242.4,589.6,934.6,1177.8,1407.8,1605.7,3.5,1.5,88.5,113.5,117,117,118,1,2,4,6,8,8,9,15.3,81.2,130.9,183.9,240,299.5,343.7,12.2,58.1,104.3,143.3,179.1,214.8,244.6,22.6,107.7,189,262.3,344.8,435,499.7,1,0
2011.5.8,YeongDeungPo/Park,56.1,265.4,595.9,931.3,1208.6,1450.3,1630.4,0,5,89.5,95,120.5,120.5,121.5,0,2,4,6,7,8,9,17.7,81.7,134.4,189.6,242.8,304.6,347,11.5,61.4,107.4,147,183.1,222,248.8,24.2,109,196.5,269.7,348.3,441.6,504.2,1,0
2011.5.9,YeongDeungPo/Park,78.8,277.4,595,927.8,1194.6,1462.3,1632.5,3,5,89.5,95,117,120.5,121.5,1,3,4,7,8,9,9,19.3,83.9,141.2,196.8,253.3,310.8,354.8,14.7,61,111.1,151.7,188.6,226.9,254.1,23.3,112.3,205.4,279.1,361.4,448.7,513.4,1,0
2011.5.10,YeongDeungPo/Park,89.3,314.7,626.4,948.1,1231.8,1496.7,1655.9,4,8,90.5,98,120,123.5,123.5,1,4,4,8,9,10,10,17.2,86.8,146.6,205.8,261.9,317.5,362.7,15.1,65.7,118.1,159.4,196.5,234.3,259.9,19.3,113.2,209.8,287.5,368.4,453.5,520.9,1,0
2011.5.11,YeongDeungPo/Park,74.6,368.1,622.1,976.4,1271.8,1508.9,1712.6,17,12,12,102,124,127.5,127.5,1,4,5,8,10,11,11,17.4,85.7,163.8,211.3,267.7,321.8,369,14.5,67.7,121.8,167.5,205.5,239.7,268.3,20.8,108.1,213.7,290.3,370.2,452.9,524.4,1,0
2011.5.12,YeongDeungPo/Park,64,379.4,621.8,969,1314,1557.2,1749.1,0,27.5,29,116,141,144.5,144.5,0,3,5,7,9,11,11,16.4,86.9,168.1,217.8,270.8,326.9,376.2,11.7,68,126.1,172.3,211.3,247.1,277.8,21.5,110.2,217.9,299.2,372.5,455,529.2,1,0
2011.5.13,YeongDeungPo/Park,56.5,362.8,628.2,958.7,1294.1,1571.4,1769,0,24,29,113.5,119,144.5,144.5,0,3,5,7,9,10,11,14.4,88,169.7,222.4,277.6,330.8,381.1,10.6,67.5,128.9,174.9,214.5,250.6,282.9,19.5,109.1,218.1,305.6,378.8,457.4,533.6,1,0
2011.5.14,YeongDeungPo/Park,39.8,363.2,640.6,958.2,1291,1557.8,1781.1,0,24,29,113.5,119,141,144.5,0,2,5,6,9,10,11,17.1,84.7,168.6,225.9,281.5,338,382.9,12.2,66.6,127.6,177.7,218.3,255.2,286.2,22.8,104.4,216.7,309.8,383.5,465.8,534.6,1,0
