,2011-06-14,2011-06-13,2011-06-12,2011-06-11,2011-06-10,2011-06-09,2011-06-08,2011-06-07,2011-06-06,2011-06-05,2011-06-04,2011-06-03,2011-06-02,2011-06-01,2011-05-26,2011-05-25,2011-05-24,2011-05-21,2011-05-16,2011-05-15
hum,0.5760000000000001,0.6990000000000001,0.495,0.45799999999999996,0.7140000000000001,0.765,0.5579999999999999,0.45799999999999996,0.505,0.626,0.768,0.67,0.736,0.769,0.479,0.414,0.395,0.851,0.484,0.5
hum5,0.6262,0.598,0.5906,0.6,0.5824,0.583,0.6054,0.6609999999999999,0.7138,0.7216,0.6512,0.598,0.5468,0.5,0.5382,0.635,0.6768,0.5498,0.5698,0.6484
hum10,0.6046,0.6017,0.6258,0.6569,0.652,0.6171,0.6017,0.6039,0.6069,0.5922,0.5568,0.5293,0.501,0.4819,0.544,0.5526,0.5529,0.5598,0.653,0.6389
hum15,0.620133333,0.6004666670000001,0.5994666670000001,0.6046,0.588933333,0.565533333,0.554666667,0.554333333,0.5592,0.5742,0.582866667,0.578466667,0.556666667,0.529,0.5526,0.584533333,0.610733333,0.6186,0.604666667,0.633733333
hum20,0.5807,0.5655,0.5634,0.5694,0.57625,0.5829,0.5852,0.58275,0.5752,0.5681,0.5547,0.5411,0.53255,0.5261,0.5985,0.59575,0.59675,0.59095,0.63065,0.63615
hum25,0.5915600000000001,0.5877600000000001,0.58432,0.58016,0.57096,0.5603600000000001,0.55396,0.55824,0.5636399999999999,0.56844,0.57344,0.57816,0.57116,0.5726399999999999,0.5804,0.60128,0.60444,0.61448,0.62268,0.6224
hum30,0.554666667,0.548033333,0.5448,0.548366667,0.5459,0.545266667,0.556433333,0.567433333,0.5693,0.5753,0.5708,0.560433333,0.5497333329999999,0.5388,0.574433333,0.587966667,0.5951333329999999,0.599733333,0.589166667,0.5812666670000001
raf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666670000000001,0.0,0.0,0.066666667,0.0,0.0,0.0,0.003333333,0.0,0.0
raf5,0.0,0.0,0.0,0.0,0.0,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.013666667,0.016,0.015666667,0.015666667,0.015666667,0.002333333,0.000666667,0.009000000000000001,0.009000000000000001,0.008333333,0.011333333000000001,0.013999999999999999
raf10,0.000166667,0.000166667,0.000166667,0.0068333330000000005,0.008,0.008,0.008,0.008,0.008,0.008,0.007833333,0.007833333,0.007833333,0.001166667,0.0045,0.0045,0.0045,0.009833333,0.009666667,0.009666667
raf15,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005555556,0.008222222,0.008222222,0.008222222,0.003777778,0.006777778000000001,0.007666666999999999,0.008333333,0.009222221999999999,0.0064444440000000006,0.024777777999999997
raf20,0.004,0.004,0.004,0.004,0.004166667,0.00625,0.00625,0.00625,0.00625,0.00625,0.006166667,0.006166667,0.006166667,0.002833333,0.007083333000000001,0.007083333000000001,0.007083333000000001,0.006916667,0.019833333,0.019833333
raf25,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007266666999999999,0.007733333,0.008133333000000001,0.008133333000000001,0.005933333000000001,0.005666666999999999,0.016666667,0.016933333000000002,0.017533333,0.0188,0.0188
raf30,0.004166667,0.004166667,0.004166667,0.004166667,0.004166667,0.006055556,0.0065,0.0068333330000000005,0.0068333330000000005,0.0072222219999999995,0.007333333,0.007333333,0.007333333,0.005111111,0.014388888999999998,0.014722222,0.014722222,0.017055556,0.016055556000000002,0.016055556000000002
rfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rfd5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.6,0.4,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2
rfd10,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5
rfd15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.133333333,0.2,0.26666666699999997,0.4,0.333333333,0.333333333
rfd20,0.15,0.15,0.15,0.15,0.15,0.2,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.3,0.35,0.35,0.35,0.4,0.45
rfd25,0.16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.24,0.24,0.28,0.28,0.28,0.28,0.32,0.4,0.4,0.4
rfd30,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.2,0.233333333,0.26666666699999997,0.26666666699999997,0.3,0.3,0.3,0.3,0.3,0.333333333,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006
tav,0.625,0.596666667,0.643333333,0.651666667,0.611666667,0.573333333,0.6183333329999999,0.6,0.598333333,0.588333333,0.561666667,0.568333333,0.565,0.553333333,0.596666667,0.6333333329999999,0.611666667,0.505,0.525,0.543333333
tav5,0.6153333329999999,0.6196666670000001,0.611,0.600333333,0.595666667,0.593333333,0.583333333,0.576333333,0.567333333,0.564,0.577333333,0.593666667,0.605666667,0.612666667,0.576666667,0.559333333,0.556666667,0.562,0.526333333,0.525
tav10,0.6043333329999999,0.6015,0.593666667,0.583833333,0.579833333,0.585333333,0.5885,0.591,0.59,0.590833333,0.598,0.6023333329999999,0.6043333329999999,0.603833333,0.569333333,0.560333333,0.552666667,0.544166667,0.531,0.532166667
