,2011-06-22,2011-06-21,2011-06-20,2011-06-19,2011-06-18,2011-06-17,2011-06-16,2011-06-15,2011-06-14,2011-06-13,2011-06-12,2011-06-11,2011-06-10,2011-06-09,2011-06-08,2011-06-07,2011-06-06,2011-06-05,2011-06-04,2011-06-03,2011-06-02,2011-06-01,2011-05-26,2011-05-25,2011-05-24
hum,0.836,0.599,0.525,0.504,0.525,0.43,0.433,0.508,0.5760000000000001,0.6990000000000001,0.495,0.45799999999999996,0.7140000000000001,0.765,0.5579999999999999,0.45799999999999996,0.505,0.626,0.768,0.67,0.736,0.769,0.479,0.414,0.395
hum5,0.5166,0.4834,0.48,0.4944,0.5292,0.5422,0.5472,0.5884,0.6262,0.598,0.5906,0.6,0.5824,0.583,0.6054,0.6609999999999999,0.7138,0.7216,0.6512,0.598,0.5468,0.5,0.5382,0.635,0.6768
hum10,0.5294,0.5153,0.5342,0.5603,0.5636,0.5664,0.5736,0.5854,0.6046,0.6017,0.6258,0.6569,0.652,0.6171,0.6017,0.6039,0.6069,0.5922,0.5568,0.5293,0.501,0.4819,0.544,0.5526,0.5529
hum15,0.5498,0.543533333,0.550266667,0.567866667,0.577533333,0.597933333,0.6203333329999999,0.6308,0.620133333,0.6004666670000001,0.5994666670000001,0.6046,0.588933333,0.565533333,0.554666667,0.554333333,0.5592,0.5742,0.582866667,0.578466667,0.556666667,0.529,0.5526,0.584533333,0.610733333
hum20,0.5776,0.5861,0.5931,0.5887,0.58265,0.58515,0.59025,0.5888,0.5807,0.5655,0.5634,0.5694,0.57625,0.5829,0.5852,0.58275,0.5752,0.5681,0.5547,0.5411,0.53255,0.5261,0.5985,0.59575,0.59675
hum25,0.57144,0.56888,0.56704,0.5634399999999999,0.55824,0.55916,0.56496,0.57868,0.5915600000000001,0.5877600000000001,0.58432,0.58016,0.57096,0.5603600000000001,0.55396,0.55824,0.5636399999999999,0.56844,0.57344,0.57816,0.57116,0.5726399999999999,0.5804,0.60128,0.60444
hum30,0.5369666670000001,0.5321,0.5338666670000001,0.545433333,0.557866667,0.563666667,0.562866667,0.5577333329999999,0.554666667,0.548033333,0.5448,0.548366667,0.5459,0.545266667,0.556433333,0.567433333,0.5693,0.5753,0.5708,0.560433333,0.5497333329999999,0.5388,0.574433333,0.587966667,0.5951333329999999
raf,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666670000000001,0.0,0.0,0.066666667,0.0,0.0,0.0
raf5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.013666667,0.016,0.015666667,0.015666667,0.015666667,0.002333333,0.000666667,0.009000000000000001,0.009000000000000001
raf10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166667,0.000166667,0.000166667,0.0068333330000000005,0.008,0.008,0.008,0.008,0.008,0.008,0.007833333,0.007833333,0.007833333,0.001166667,0.0045,0.0045,0.0045
