,2011-07-21,2011-07-20,2011-07-19,2011-07-18,2011-07-17,2011-07-16,2011-07-15,2011-07-14,2011-07-13,2011-07-12,2011-07-11,2011-07-10,2011-07-09,2011-07-08,2011-07-07,2011-07-06,2011-07-05,2011-07-04,2011-07-03,2011-07-02,2011-07-01,2011-06-28,2011-06-27,2011-06-26,2011-06-25,2011-06-24,2011-06-23,2011-06-22,2011-06-21
hum,0.48,0.503,0.555,0.628,0.825,0.9109999999999999,0.894,0.895,0.856,0.879,0.903,0.804,0.835,0.841,0.8490000000000001,0.609,0.6459999999999999,0.768,0.9209999999999999,0.823,0.789,0.6729999999999999,0.8590000000000001,0.821,0.8490000000000001,0.889,0.9229999999999999,0.836,0.599
hum5,0.6844,0.7626,0.8306,0.8762,0.887,0.8854,0.8674,0.8554,0.8524,0.8464,0.7876,0.7559999999999999,0.7426,0.7586,0.7534,0.7894,0.835,0.866,0.8164,0.8236,0.83,0.8682,0.8636,0.8192,0.7544,0.6774,0.5978,0.5166,0.4834
hum10,0.7849,0.815,0.843,0.8643,0.8667,0.8365,0.8117,0.799,0.8055,0.7999,0.7885,0.7955,0.8043,0.7875,0.7885,0.8097,0.83,0.8421,0.8423,0.8436,0.8246,0.733,0.6901,0.6513,0.6172,0.5859,0.5635,0.5294,0.5153
hum15,0.7858,0.795333333,0.809533333,0.829066667,0.8289333329999999,0.8208,0.819466667,0.821333333,0.809133333,0.8078,0.802333333,0.805333333,0.8089333329999999,0.8144,0.813533333,0.812866667,0.8048,0.7872,0.7608,0.7346,0.710866667,0.6650666670000001,0.6408,0.6166,0.6076,0.599333333,0.575,0.5498,0.543533333
hum20,0.7867,0.80525,0.82365,0.8259,0.8276,0.8231,0.82085,0.82055,0.8239,0.82175,0.80655,0.7926,0.77605,0.76025,0.7393,0.7305,0.7236,0.7140000000000001,0.7029,0.6865,0.66995,0.6483,0.62825,0.61245,0.6013,0.59525,0.5826,0.5776,0.5861
hum25,0.7953600000000001,0.8092,0.8225600000000001,0.83436,0.8348,0.82232,0.8075600000000001,0.79192,0.77868,0.76072,0.74192,0.7300800000000001,0.71972,0.71404,0.6998800000000001,0.69384,0.6965600000000001,0.69644,0.68192,0.66732,0.65596,0.63972,0.6348,0.63272,0.62536,0.60644,0.58568,0.57144,0.56888
hum30,0.779366667,0.782566667,0.781566667,0.777433333,0.7674333329999999,0.7514,0.736033333,0.7231333329999999,0.7138,0.7078,0.6942,0.682666667,0.678633333,0.6761,0.6664,0.661366667,0.656666667,0.651933333,0.646833333,0.641733333,0.639966667,0.6193,0.6041333329999999,0.592766667,0.5823,0.568633333,0.551666667,0.5369666670000001,0.5321
raf,0.0,0.0,0.0,0.0,0.0,0.131666667,0.08833333300000001,0.125,0.078333333,0.15333333300000002,0.15833333300000002,0.01,0.09833333300000001,0.053333333,0.161666667,0.0,0.0,0.0,0.46666666700000003,0.0,0.0,0.005,0.036666667,0.133333333,0.15833333300000002,0.048333333,0.135,0.07,0.0
raf5,0.026333332999999997,0.044000000000000004,0.069,0.08466666699999999,0.11533333300000001,0.12066666699999999,0.105,0.09966666699999999,0.094666667,0.09633333300000001,0.064666667,0.062666667,0.043,0.12566666699999998,0.093333333,0.093333333,0.10366666699999999,0.239333333,0.147,0.15433333300000002,0.18100000000000002,0.10233333300000001,0.109,0.082333333,0.050666667,0.040999999999999995,0.013999999999999999,0.0,0.0
raf10,0.0735,0.0745,0.08433333300000001,0.08966666699999999,0.105833333,0.092666667,0.083833333,0.071333333,0.110166667,0.094833333,0.079,0.083166667,0.141166667,0.136333333,0.123833333,0.137166667,0.153,0.15783333300000002,0.124666667,0.131666667,0.131666667,0.058166667000000005,0.0545,0.041166667000000004,0.025333333,0.0205,0.006999999999999999,0.0,0.0
raf15,0.07055555599999999,0.07055555599999999,0.07055555599999999,0.10166666699999999,0.10166666699999999,0.092888889,0.090444444,0.12733333300000002,0.122444444,0.11466666699999999,0.113,0.122888889,0.119555556,0.125,0.118888889,0.118888889,0.118888889,0.118888889,0.087777778,0.087777778,0.087777778,0.038777778,0.036333332999999995,0.027444444,0.016888889,0.013666667,0.004666667,0.0,0.0
raf20,0.07625,0.07883333299999999,0.11275,0.113,0.11483333300000001,0.11491666699999999,0.11841666699999999,0.11458333300000001,0.11741666699999999,0.11325,0.105333333,0.104833333,0.09991666699999999,0.09725,0.08916666699999999,0.08916666699999999,0.08916666699999999,0.08916666699999999,0.065833333,0.065833333,0.065833333,0.029083333,0.02725,0.020583333,0.012666667,0.010333333,0.0035833329999999997,8.329999999999999e-05,0.003416667
raf25,0.0972,0.103533333,0.10546666699999999,0.11086666699999999,0.113666667,0.1084,0.104866667,0.09986666699999999,0.096733333,0.0906,0.08426666699999999,0.083866667,0.079933333,0.0778,0.071333333,0.071333333,0.071333333,0.071333333,0.052666667,0.052666667,0.052666667,0.023333332999999998,0.021866667000000003,0.0192,0.013333333000000001,0.0114,0.006,0.0032,0.0032
raf30,0.094722222,0.094722222,0.094722222,0.094722222,0.094722222,0.090333333,0.087388889,0.083222222,0.080611111,0.0755,0.070222222,0.06988888900000001,0.066611111,0.06483333299999999,0.059444444000000006,0.059444444000000006,0.059444444000000006,0.059444444000000006,0.043944444000000006,0.043944444000000006,0.043944444000000006,0.022055556,0.020833333,0.016388889,0.011111111000000002,0.0095,0.005,0.002666667,0.002666667
rfd,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
rfd5,0.0,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.4,0.2,0.2,0.4,0.6,0.6,0.8,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.0
rfd10,0.5,0.6,0.7,0.8,0.9,1.0,0.9,0.8,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.0
rfd15,0.666666667,0.666666667,0.666666667,0.666666667,0.7333333329999999,0.7333333329999999,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.6,0.6,0.46666666700000003,0.4,0.333333333,0.26666666699999997,0.2,0.133333333,0.066666667,0.0
rfd20,0.55,0.55,0.6,0.65,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.7,0.65,0.6,0.55,0.5,0.5,0.5,0.5,0.45,0.45,0.35,0.3,0.25,0.2,0.15,0.15,0.1,0.05
rfd25,0.6,0.64,0.68,0.72,0.76,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.4,0.4,0.4,0.36,0.36,0.32,0.28,0.24,0.24,0.24,0.2,0.16,0.12
rfd30,0.6333333329999999,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.6333333329999999,0.6,0.566666667,0.533333333,0.5,0.46666666700000003,0.433333333,0.4,0.36666666700000006,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.3,0.26666666699999997,0.233333333,0.2,0.166666667,0.133333333,0.1
tav,0.711666667,0.716666667,0.7333333329999999,0.735,0.676666667,0.635,0.643333333,0.651666667,0.661666667,0.635,0.61,0.66,0.65,0.625,0.6316666670000001,0.68,0.656666667,0.6233333329999999,0.6266666670000001,0.668333333,0.678333333,0.651666667,0.573333333,0.568333333,0.551666667,0.58,0.6166666670000001,0.635,0.656666667
tav5,0.699333333,0.684666667,0.668333333,0.653666667,0.645333333,0.640333333,0.6436666670000001,0.643333333,0.636,0.635333333,0.649333333,0.648666667,0.643333333,0.6436666670000001,0.6509999999999999,0.650666667,0.6509999999999999,0.6466666670000001,0.651666667,0.6326666670000001,0.610666667,0.578,0.590333333,0.608,0.6336666670000001,0.6559999999999999,0.662666667,0.669333333,0.676666667
tav10,0.6698333329999999,0.664166667,0.655833333,0.644833333,0.640333333,0.644833333,0.646166667,0.643333333,0.639833333,0.643166667,0.65,0.649833333,0.645,0.6476666670000001,0.641833333,0.6306666670000001,0.620166667,0.615833333,0.614833333,0.6115,0.6093333329999999,0.6203333329999999,0.629833333,0.642333333,0.653666667,0.658166667,0.656166667,0.657,0.6565
tav15,0.6629999999999999,0.659,0.651666667,0.644444444,0.643888889,0.646777778,0.6477777779999999,0.644444444,0.643777778,0.6396666670000001,0.636888889,0.6296666670000001,0.625,0.624444444,0.6246666670000001,0.623111111,0.6246666670000001,0.629222222,0.630777778,0.630777778,0.631777778,0.6301111110000001,0.634777778,0.640333333,0.644333333,0.643888889,0.644,0.6416666670000001,0.637777778
tav20,0.6599166670000001,0.657,0.650416667,0.64625,0.641083333,0.63775,0.633166667,0.629583333,0.6273333329999999,0.6273333329999999,0.6296666670000001,0.6306666670000001,0.63275,0.634,0.635833333,0.6365,0.636916667,0.637,0.6355,0.63425,0.632916667,0.6275,0.628833333,0.6303333329999999,0.632166667,0.63125,0.628833333,0.6253333329999999,0.620166667
