,2011-09-20,2011-09-19,2011-09-18,2011-09-17,2011-09-16,2011-09-15,2011-09-14,2011-09-13,2011-09-12,2011-09-11,2011-09-10,2011-09-09,2011-09-08,2011-09-07,2011-09-06,2011-09-05,2011-09-04,2011-09-03,2011-09-02,2011-09-01,2011-08-31,2011-08-30,2011-08-29,2011-08-28,2011-08-27,2011-08-26,2011-08-25,2011-08-24,2011-08-23,2011-08-22,2011-08-21
hum,0.445,0.561,0.63,0.6559999999999999,0.6809999999999999,0.688,0.7090000000000001,0.503,0.696,0.7709999999999999,0.6859999999999999,0.755,0.5379999999999999,0.499,0.525,0.5589999999999999,0.47600000000000003,0.48,0.581,0.633,0.626,0.7,0.7559999999999999,0.6679999999999999,0.595,0.575,0.573,0.579,0.601,0.7140000000000001,0.684
hum5,0.6432,0.6728,0.6474,0.6554,0.6734,0.6729999999999999,0.6822,0.6892,0.6498,0.6006,0.5752,0.5194,0.5078,0.5242,0.5458,0.5592,0.604,0.6592,0.6766,0.669,0.6588,0.6334,0.598,0.5846,0.6084,0.6302,0.6694,0.7048,0.7312,0.7706,0.8094
hum10,0.6581,0.6775,0.6683,0.6526,0.637,0.6241,0.6008,0.5985,0.5870000000000001,0.5732,0.5672,0.5617,0.5835,0.6004,0.6074,0.609,0.6187,0.6286,0.6306,0.6387,0.6445,0.6514,0.6514,0.6579,0.6895,0.7198,0.7498,0.7787,0.8025,0.8176,0.8281
hum15,0.630466667,0.6248,0.6148,0.6098,0.6066,0.6024666670000001,0.601866667,0.618733333,0.616866667,0.6051333329999999,0.597733333,0.5856,0.588333333,0.5951333329999999,0.607733333,0.616066667,0.6356,0.654,0.664133333,0.682666667,0.699466667,0.711,0.7184666670000001,0.729866667,0.747866667,0.762133333,0.777933333,0.7902,0.806666667,0.801666667,0.8010666670000001
hum20,0.61265,0.6196,0.6259,0.6265,0.6222,0.61655,0.60975,0.61355,0.6088,0.60595,0.60585,0.60655,0.61745,0.62915,0.64845,0.6644,0.68425,0.70365,0.71655,0.72815,0.7363,0.7418,0.74215,0.75115,0.75335,0.75835,0.7636,0.7778,0.78925,0.7923,0.79865
hum25,0.62188,0.62236,0.62032,0.61812,0.61944,0.61928,0.62168,0.6318,0.6332800000000001,0.63888,0.64656,0.65128,0.6644800000000001,0.67808,0.6916800000000001,0.7008800000000001,0.71424,0.72556,0.73624,0.73648,0.73844,0.73756,0.7418399999999999,0.74832,0.75552,0.7649600000000001,0.7771600000000001,0.7841199999999999,0.79272,0.79976,0.80924
hum30,0.6004666670000001,0.6045666670000001,0.6092,0.612533333,0.614266667,0.6217,0.6273333329999999,0.6396666670000001,0.6454,0.6476666670000001,0.6536333329999999,0.6547666670000001,0.663833333,0.6726333329999999,0.6834,0.6860666670000001,0.6927,0.6993,0.7087,0.7152666670000001,0.7202333329999999,0.723933333,0.728,0.730833333,0.7382,0.7487,0.7603,0.768,0.7764,0.7798,0.782433333
raf,0.0,0.0,0.0016666670000000001,0.0016666670000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333332999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raf5,0.000666667,0.000666667,0.00033333300000000006,0.0,0.0,0.0,0.002666667,0.002666667,0.002666667,0.002666667,0.002666667,0.0,0.0,0.0,0.0,0.0,0.004666667,0.004666667,0.004666667,0.004666667,0.004666667,0.0,0.0,0.0,0.0,0.0,0.000666667,0.000666667,0.000666667,0.008,0.025
raf10,0.00033333300000000006,0.0016666670000000001,0.0015,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.001333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.00033333300000000006,0.00033333300000000006,0.00033333300000000006,0.004,0.0125,0.012666667,0.021,0.0235,0.028999999999999998,0.028999999999999998
raf15,0.0011111110000000001,0.0011111110000000001,0.001,0.0008888889999999999,0.0008888889999999999,0.0008888889999999999,0.002444444,0.002444444,0.002444444,0.002444444,0.002444444,0.001555556,0.001555556,0.001555556,0.001555556,0.001555556,0.0017777779999999998,0.0017777779999999998,0.0017777779999999998,0.004222222,0.009888889,0.008444444,0.013999999999999999,0.015666667,0.019333333,0.019333333,0.019333333,0.019333333,0.027555556000000002,0.028666667000000003,0.028666667000000003
raf20,0.000833333,0.002,0.0019166670000000002,0.001833333,0.001833333,0.001833333,0.001833333,0.001833333,0.001833333,0.001833333,0.001833333,0.001333333,0.001333333,0.001333333,0.003166667,0.007416666999999999,0.0075,0.011666667,0.012916667,0.015666667,0.015666667,0.0145,0.0145,0.020666667,0.0215,0.0215,0.0215,0.024666667000000003,0.02575,0.025916667,0.025916667
raf25,0.0016,0.0016,0.0015333329999999998,0.001466667,0.001466667,0.001466667,0.0016,0.0016,0.0016,0.003066667,0.006466667,0.006,0.009333333000000001,0.010333333,0.012533333,0.012533333,0.012533333,0.012533333,0.017466666999999998,0.018133333,0.018133333,0.0172,0.019733333,0.0206,0.020733333,0.020733333,0.031266667000000005,0.031266667000000005,0.033866667,0.045866667,0.0814
raf30,0.001333333,0.001333333,0.001388889,0.001333333,0.001333333,0.002555556,0.005388889,0.0054444440000000005,0.008222222,0.009055556,0.010888888999999999,0.010444444,0.010444444,0.010444444,0.014555556,0.015111111000000002,0.015111111000000002,0.015111111000000002,0.017222222,0.017944444,0.018055556,0.017277778,0.026055556,0.026055556,0.028222222,0.038222222,0.067833333,0.0795,0.079944444,0.080555556,0.080555556
rfd,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rfd5,0.4,0.4,0.4,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4
rfd10,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7
rfd15,0.2,0.2,0.2,0.133333333,0.066666667,0.066666667,0.066666667,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.133333333,0.133333333,0.133333333,0.2,0.26666666699999997,0.26666666699999997,0.333333333,0.4,0.46666666700000003,0.46666666700000003,0.46666666700000003,0.46666666700000003,0.533333333,0.6
rfd20,0.15,0.15,0.2,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.4,0.35,0.35,0.4,0.45,0.45,0.45,0.5,0.55,0.6
rfd25,0.16,0.16,0.16,0.12,0.08,0.08,0.08,0.12,0.12,0.12,0.16,0.2,0.2,0.24,0.28,0.32,0.32,0.32,0.32,0.36,0.4,0.4,0.36,0.4,0.44,0.48,0.48,0.52,0.52,0.56,0.6
rfd30,0.133333333,0.133333333,0.133333333,0.133333333,0.1,0.1,0.133333333,0.166666667,0.2,0.233333333,0.26666666699999997,0.3,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.3,0.333333333,0.333333333,0.333333333,0.36666666700000006,0.4,0.433333333,0.4,0.433333333,0.433333333,0.46666666700000003,0.5,0.533333333,0.566666667,0.6,0.6333333329999999
tav,0.553333333,0.543333333,0.6083333329999999,0.681666667,0.68,0.683333333,0.66,0.668333333,0.643333333,0.6033333329999999,0.611666667,0.59,0.6266666670000001,0.635,0.65,0.655,0.65,0.673333333,0.701666667,0.701666667,0.715,0.705,0.703333333,0.71,0.706666667,0.69,0.678333333,0.66,0.666666667,0.653333333,0.656666667
tav5,0.639333333,0.662666667,0.674666667,0.667,0.651666667,0.637333333,0.6233333329999999,0.615,0.6133333329999999,0.6226666670000001,0.6313333329999999,0.643333333,0.652666667,0.6659999999999999,0.676333333,0.688333333,0.699333333,0.705333333,0.7070000000000001,0.708,0.703,0.697666667,0.6890000000000001,0.680333333,0.669666667,0.6629999999999999,0.653666667,0.653333333,0.655333333,0.654333333,0.656666667
tav10,0.638333333,0.643,0.644833333,0.640166667,0.637166667,0.6343333329999999,0.6333333329999999,0.633833333,0.6396666670000001,0.6495,0.659833333,0.671333333,0.679,0.6865,0.6921666670000001,0.695666667,0.6985,0.6971666670000001,0.693666667,0.6888333329999999,0.6829999999999999,0.675666667,0.671166667,0.6678333329999999,0.662,0.659833333,0.658166667,0.658666667,0.659333333,0.6609999999999999,0.664666667
tav15,0.636,0.6431111110000001,0.647444444,0.6487777779999999,0.650222222,0.652333333,0.655333333,0.657666667,0.662111111,0.669,0.674222222,0.680111111,0.682333333,0.684444444,0.684666667,0.684777778,0.683555556,0.682555556,0.6808888890000001,0.677333333,0.674222222,0.671333333,0.6687777779999999,0.666333333,0.663888889,0.664111111,0.664111111,0.665333333,0.6647777779999999,0.669444444,0.674111111
