,2012-05-07
hum,0.33299999999999996
hum5,0.4484
hum10,0.4451
hum15,0.5367333329999999
hum20,0.51055
hum25,0.5221600000000001
hum30,0.521266667
raf,0.0
raf5,0.0
raf10,0.0
raf15,0.007888889
raf20,0.014083333
raf25,0.011266667
raf30,0.010388889
rfd,0.0
rfd5,0.0
rfd10,0.0
rfd15,0.133333333
rfd20,0.2
rfd25,0.16
rfd30,0.2
tav,0.565
tav5,0.5870000000000001
tav10,0.5845
tav15,0.551888889
tav20,0.541083333
tav25,0.5205333329999999
tav30,0.505888889
",tmi",0.45833333299999995
tmi5,0.514
tmi10,0.498666667
tmi15,0.47044444399999996
tmi20,0.4595
tmi25,0.4398
tmi30,0.429388889
tmx,0.67
tmx5,0.686333333
tmx10,0.6831666670000001
tmx15,0.648555556
tmx20,0.639333333
tmx25,0.619266667
tmx30,0.601055556
landuse,1.0
