,2012-05-09,2012-05-08,2012-05-07
hum,0.45399999999999996,0.275,0.33299999999999996
hum5,0.3678,0.4204,0.4484
hum10,0.4315,0.4464,0.4451
hum15,0.4616,0.498,0.5367333329999999
hum20,0.50575,0.50815,0.51055
hum25,0.50556,0.51568,0.5221600000000001
hum30,0.507166667,0.5166,0.521266667
raf,0.0,0.0,0.0
raf5,0.0,0.0,0.0
raf10,0.0,0.0,0.0
raf15,0.006,0.006,0.007888889
raf20,0.014083333,0.014083333,0.014083333
raf25,0.011266667,0.011266667,0.011266667
raf30,0.010388889,0.010388889,0.010388889
rfd,0.0,0.0,0.0
rfd5,0.0,0.0,0.0
rfd10,0.0,0.0,0.0
rfd15,0.133333333,0.133333333,0.133333333
rfd20,0.2,0.2,0.2
rfd25,0.16,0.16,0.16
rfd30,0.166666667,0.2,0.2
tav,0.586666667,0.595,0.565
tav5,0.570666667,0.570333333,0.5870000000000001
tav10,0.5945,0.5895,0.5845
tav15,0.569777778,0.561888889,0.551888889
tav20,0.54975,0.545333333,0.541083333
tav25,0.5336,0.526933333,0.5205333329999999
tav30,0.512222222,0.5095,0.505888889
",tmi",0.488333333,0.5,0.45833333299999995
tmi5,0.483333333,0.490333333,0.514
tmi10,0.506833333,0.5053333329999999,0.498666667
tmi15,0.480888889,0.475,0.47044444399999996
tmi20,0.4685,0.4635,0.4595
tmi25,0.449533333,0.444533333,0.4398
tmi30,0.43527777799999995,0.433166667,0.429388889
tmx,0.701666667,0.72,0.67
tmx5,0.6779999999999999,0.6709999999999999,0.686333333
tmx10,0.6968333329999999,0.687,0.6831666670000001
tmx15,0.673111111,0.662666667,0.648555556
tmx20,0.649083333,0.6436666670000001,0.639333333
tmx25,0.6356,0.6272,0.619266667
tmx30,0.607555556,0.604555556,0.601055556
landuse,1.0,1.0,1.0
