,2012-05-11,2012-05-10,2012-05-09,2012-05-08,2012-05-07
hum,0.5539999999999999,0.451,0.45399999999999996,0.275,0.33299999999999996
hum5,0.3664,0.361,0.3678,0.4204,0.4484
hum10,0.4216,0.4198,0.4315,0.4464,0.4451
hum15,0.4332,0.451666667,0.4616,0.498,0.5367333329999999
hum20,0.5145,0.5114,0.50575,0.50815,0.51055
hum25,0.49216000000000004,0.49651999999999996,0.50556,0.51568,0.5221600000000001
hum30,0.485566667,0.4947,0.507166667,0.5166,0.521266667
raf,0.0,0.0,0.0,0.0,0.0
raf5,0.0,0.0,0.0,0.0,0.0
raf10,0.0,0.0,0.0,0.0,0.0
raf15,0.00033333300000000006,0.006,0.006,0.006,0.007888889
raf20,0.014083333,0.014083333,0.014083333,0.014083333,0.014083333
raf25,0.011266667,0.011266667,0.011266667,0.011266667,0.011266667
raf30,0.009388889000000001,0.009611111,0.010388889,0.010388889,0.010388889
rfd,0.0,0.0,0.0,0.0,0.0
rfd5,0.0,0.0,0.0,0.0,0.0
rfd10,0.0,0.0,0.0,0.0,0.0
rfd15,0.0,0.066666667,0.133333333,0.133333333,0.133333333
rfd20,0.15,0.2,0.2,0.2,0.2
rfd25,0.16,0.16,0.16,0.16,0.16
rfd30,0.133333333,0.133333333,0.166666667,0.2,0.2
tav,0.533333333,0.595,0.586666667,0.595,0.565
tav5,0.579,0.571666667,0.570666667,0.570333333,0.5870000000000001
tav10,0.590666667,0.594333333,0.5945,0.5895,0.5845
tav15,0.5760000000000001,0.5702222220000001,0.569777778,0.561888889,0.551888889
tav20,0.5535,0.552166667,0.54975,0.545333333,0.541083333
tav25,0.544266667,0.5396,0.5336,0.526933333,0.5205333329999999
tav30,0.520166667,0.5156666670000001,0.512222222,0.5095,0.505888889
",tmi",0.49166666700000006,0.5116666670000001,0.488333333,0.5,0.45833333299999995
tmi5,0.486,0.479333333,0.483333333,0.490333333,0.514
tmi10,0.5075,0.5065,0.506833333,0.5053333329999999,0.498666667
tmi15,0.48966666700000006,0.48311111100000004,0.480888889,0.475,0.47044444399999996
tmi20,0.471583333,0.47016666700000004,0.4685,0.4635,0.4595
tmi25,0.46073333299999997,0.45446666700000005,0.449533333,0.444533333,0.4398
tmi30,0.440111111,0.436555556,0.43527777799999995,0.433166667,0.429388889
tmx,0.583333333,0.696666667,0.701666667,0.72,0.67
tmx5,0.688333333,0.682666667,0.6779999999999999,0.6709999999999999,0.686333333
tmx10,0.6940000000000001,0.698666667,0.6968333329999999,0.687,0.6831666670000001
tmx15,0.677555556,0.673222222,0.673111111,0.662666667,0.648555556
tmx20,0.652833333,0.650833333,0.649083333,0.6436666670000001,0.639333333
tmx25,0.6454,0.6424,0.6356,0.6272,0.619266667
tmx30,0.6173333329999999,0.612777778,0.607555556,0.604555556,0.601055556
landuse,1.0,1.0,1.0,1.0,1.0
