,2012-05-23,2012-05-22,2012-05-21,2012-05-20,2012-05-19,2012-05-18,2012-05-17,2012-05-16,2012-05-15,2012-05-14,2012-05-11,2012-05-10,2012-05-09,2012-05-08,2012-05-07
hum,0.395,0.34600000000000003,0.348,0.391,0.38,0.514,0.5660000000000001,0.586,0.653,0.7879999999999999,0.5539999999999999,0.451,0.45399999999999996,0.275,0.33299999999999996
hum5,0.3958,0.4398,0.4874,0.5398,0.6214,0.6246,0.6272,0.6208,0.5804,0.5136,0.3664,0.361,0.3678,0.4204,0.4484
hum10,0.5102,0.5335,0.5541,0.5601,0.5675,0.5436,0.5203,0.4936,0.4707,0.4407,0.4216,0.4198,0.4315,0.4464,0.4451
hum15,0.494333333,0.493466667,0.49153333299999996,0.493733333,0.500933333,0.5025333329999999,0.496333333,0.488,0.47333333299999997,0.458866667,0.4332,0.451666667,0.4616,0.498,0.5367333329999999
hum20,0.47585,0.4822,0.48785,0.48995,0.4995,0.495,0.4827,0.4801,0.48385,0.4746,0.5145,0.5114,0.50575,0.50815,0.51055
hum25,0.47516,0.47412,0.48156000000000004,0.49504,0.5039600000000001,0.5162399999999999,0.5301600000000001,0.53576,0.5252,0.50732,0.49216000000000004,0.49651999999999996,0.50556,0.51568,0.5221600000000001
hum30,0.4688,0.48463333299999994,0.5035,0.5146666670000001,0.514966667,0.5092,0.5011,0.49426666700000005,0.491833333,0.484233333,0.485566667,0.4947,0.507166667,0.5166,0.521266667
raf,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.026666667,0.0,0.0,0.0,0.0,0.0
raf5,0.0,0.004,0.004,0.004,0.009333333000000001,0.009333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.0,0.0,0.0,0.0,0.0,0.0
raf10,0.004666667,0.004666667,0.004666667,0.004666667,0.004666667,0.004666667,0.002666667,0.002666667,0.002666667,0.0,0.0,0.0,0.0,0.0,0.0
raf15,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0031111109999999997,0.0017777779999999998,0.0017777779999999998,0.0017777779999999998,0.0,0.00033333300000000006,0.006,0.006,0.006,0.007888889
raf20,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.002333333,0.001333333,0.001583333,0.0058333330000000004,0.0045,0.014083333,0.014083333,0.014083333,0.014083333,0.014083333
raf25,0.001866667,0.001866667,0.0020666670000000003,0.005466667,0.005466667,0.005466667,0.0058,0.012333333,0.012333333,0.011266667,0.011266667,0.011266667,0.011266667,0.011266667,0.011266667
raf30,0.004555556,0.004555556,0.0055,0.010944444,0.010944444,0.010944444,0.010277778000000001,0.010277778000000001,0.010277778000000001,0.009388889000000001,0.009388889000000001,0.009611111,0.010388889,0.010388889,0.010388889
rfd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rfd5,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
rfd10,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
rfd15,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.066666667,0.066666667,0.066666667,0.0,0.066666667,0.133333333,0.133333333,0.133333333
rfd20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.15,0.15,0.2,0.2,0.2,0.2
rfd25,0.08,0.08,0.08,0.12,0.16,0.16,0.16,0.16,0.2,0.2,0.16,0.16,0.16,0.16,0.16
rfd30,0.133333333,0.133333333,0.133333333,0.166666667,0.2,0.2,0.2,0.166666667,0.166666667,0.166666667,0.133333333,0.133333333,0.166666667,0.2,0.2
tav,0.615,0.643333333,0.6416666670000001,0.606666667,0.585,0.556666667,0.525,0.531666667,0.535,0.5216666670000001,0.533333333,0.595,0.586666667,0.595,0.565
tav5,0.606666667,0.583,0.561,0.546666667,0.534,0.536666667,0.540333333,0.540666667,0.552666667,0.565666667,0.579,0.571666667,0.570666667,0.570333333,0.5870000000000001
tav10,0.571666667,0.561666667,0.5508333329999999,0.549666667,0.5498333329999999,0.553666667,0.557666667,0.5598333329999999,0.5621666670000001,0.5681666670000001,0.590666667,0.594333333,0.5945,0.5895,0.5845
tav15,0.571333333,0.566111111,0.560222222,0.557,0.556777778,0.559222222,0.5674444439999999,0.574,0.580444444,0.584888889,0.5760000000000001,0.5702222220000001,0.569777778,0.561888889,0.551888889
tav20,0.5710833329999999,0.571333333,0.57075,0.5720000000000001,0.5721666670000001,0.571583333,0.5710833329999999,0.5671666670000001,0.5658333329999999,0.56875,0.5535,0.552166667,0.54975,0.545333333,0.541083333
tav25,0.5786,0.573466667,0.5659333329999999,0.562,0.5618,0.5586,0.5542,0.550933333,0.552266667,0.5529333329999999,0.544266667,0.5396,0.5336,0.526933333,0.5205333329999999
tav30,0.559055556,0.5535,0.545944444,0.540722222,0.540166667,0.539555556,0.538944444,0.537222222,0.534166667,0.5327222220000001,0.520166667,0.5156666670000001,0.512222222,0.5095,0.505888889
",tmi",0.545,0.551666667,0.546666667,0.5,0.475,0.446666667,0.46166666700000003,0.46333333299999996,0.46333333299999996,0.5066666670000001,0.49166666700000006,0.5116666670000001,0.488333333,0.5,0.45833333299999995
