Date,Mosq
2012-05-16,0
2012-05-17,0
2012-05-18,2
2012-05-19,1
2012-05-20,0
2012-05-21,3
2012-05-22,4
2012-05-23,3
2012-05-24,1
2012-05-25,3
2012-05-26,0
2012-05-27,1
2012-05-28,1
2012-05-29,6
2012-05-30,0
2012-05-31,2
2012-06-01,1
2012-06-02,1
2012-06-03,1
2012-06-04,6
2012-06-05,0
2012-06-06,1
2012-06-07,1
2012-06-08,8
2012-06-09,6
2012-06-10,9
2012-06-11,3
2012-06-12,4
2012-06-13,97
2012-06-14,7
2012-06-15,6
2012-06-16,7
2012-06-17,5
2012-06-18,19
2012-06-19,0
2012-06-20,19
2012-06-21,5
2012-06-22,28
2012-06-23,29
2012-06-24,23
2012-06-25,14
2012-06-26,10
2012-06-27,9
2012-06-28,9
2012-06-29,18
2012-06-30,0
2012-07-01,3
2012-07-02,9
2012-07-03,17
2012-07-04,1
2012-07-05,5
2012-07-06,5
2012-07-07,7
2012-07-08,11
2012-07-09,34
2012-07-10,33
2012-07-11,12
2012-07-12,3
2012-07-13,23
2012-07-14,31
2012-07-15,0
2012-07-16,1
2012-07-17,7
2012-07-18,816
2012-07-19,21
2012-07-20,0
2012-07-21,10
2012-07-22,26
2012-07-23,21
2012-07-24,33
2012-07-25,23
2012-07-26,21
2012-07-27,31
2012-07-28,51
2012-07-29,61
2012-07-30,40
2012-07-31,32
2012-08-01,2
2012-08-02,48
2012-08-03,5
2012-08-04,25
2012-08-05,22
2012-08-06,7105
2012-08-07,52
2012-08-08,10764
2012-08-09,36
2012-08-10,45
2012-08-11,17
2012-08-12,58
2012-08-13,73
2012-08-14,1
2012-08-15,11
2012-08-16,22
2012-08-17,17
2012-08-18,1
2012-08-19,3
2012-08-20,7
2012-08-21,0
2012-08-22,3
2012-08-23,26
2012-08-24,6
2012-08-25,1
2012-08-26,6
2012-08-27,0
2012-08-28,3
2012-08-29,0
2012-08-30,2
2012-08-31,3
2012-09-01,2
2012-09-02,5
2012-09-03,20
2012-09-04,96
2012-09-05,20
2012-09-06,2
2012-09-07,12
2012-09-08,0
2012-09-09,15
2012-09-10,4
2012-09-11,5
2012-09-12,20
2012-09-13,3
2012-09-14,9
2012-09-15,4
2012-09-16,17
2012-09-17,3
2012-09-18,3
2012-09-19,17
2012-09-20,6
2012-09-21,2
2012-09-22,2
2012-09-23,4
2012-09-24,4
2012-09-25,37
2012-09-26,7
2012-09-27,2
2012-09-29,1
2012-09-30,0
2012-10-01,8
2012-10-02,3
2012-10-03,0
2012-10-04,6
2012-10-05,0
2012-10-06,4
2012-10-07,5
2012-10-08,3
2012-10-09,5
2012-10-10,4
2012-10-11,3
2012-10-12,3
2012-10-13,3
2012-10-14,2
2012-10-15,2
2014-05-01,65
2014-05-02,72
2014-05-03,42
2014-05-04,35
2014-05-05,18
2014-05-06,40
2014-05-07,23
2014-05-08,35
2014-05-09,18
2014-05-10,29
2014-05-11,26
2014-05-12,16
2014-05-13,27
2014-05-14,10
2014-05-15,42
2014-05-16,16
2014-05-17,39
2014-05-18,29
