Date,Mosq
2013-06-19,0
2013-06-20,0
2013-06-21,10
2013-06-22,720
2013-06-23,640
2013-06-24,866
2013-06-25,1111
2013-06-26,987
2013-06-27,1215
2013-06-28,946
2013-06-29,0
2013-06-30,0
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,29
2013-07-20,653
2013-07-21,543
2013-07-22,7512
2013-07-23,497
2013-07-24,47
2013-07-25,387
2013-07-26,264
2013-07-27,256
2013-07-28,324
2013-07-29,193
2013-07-30,479
2013-07-31,546
2013-08-01,579
2013-08-02,922
2013-08-03,919
2013-08-04,1003
2013-08-05,853
2013-08-06,644
2013-08-07,428
2013-08-08,181
2013-08-09,134
2013-08-10,141
2013-08-11,138
2013-08-12,128
2013-08-13,124
2013-08-14,304
2013-08-16,67
2013-08-17,465
2013-08-18,657
2013-08-19,582
2013-08-20,860
2013-08-21,632
2013-08-22,385
2013-08-23,228
2013-08-24,87
2013-08-25,120
2013-08-26,100
2013-08-27,141
2013-08-28,124
2013-08-29,163
2013-08-30,607
2013-08-31,172
2013-09-01,159
2013-09-02,155
2013-09-04,5680
2013-09-05,112
2013-09-06,181
2013-09-07,308
2013-09-08,209
2013-09-09,339
2013-09-10,342
2013-09-11,202
2013-09-12,269
2013-09-13,12
2013-09-14,142
2013-09-15,216
2013-09-16,125
2013-09-17,321
2013-09-18,150
2013-09-19,100
2013-09-20,253
2013-09-21,161
2013-09-22,177
2013-09-23,197
2013-09-24,187
2013-09-25,165
2013-09-26,31
2013-09-27,93
2013-09-28,126
2013-09-29,63
2013-09-30,128
2013-10-01,303
2013-10-02,307
2013-10-03,193
2013-10-04,818
2013-10-05,171
2013-10-06,308
2013-10-07,223
2013-10-08,157
2013-10-09,131
2013-10-10,159
2013-10-11,328
2013-10-12,498
2013-10-13,252
2013-10-14,531
2013-10-15,447
2013-10-16,50
2013-10-17,77
2013-10-18,48
2013-10-19,59
2013-10-20,107
2013-10-21,140
2013-10-22,69
2013-10-23,65
2013-10-24,93
2013-10-25,22
2013-10-26,15
2013-10-27,36
2013-10-28,203
2013-10-29,39
2013-10-30,22
2013-10-31,39
2013-11-01,44
2013-11-02,57
2013-11-03,23
2013-11-04,42
2013-11-05,35
2013-11-06,44
2013-11-07,43
2013-11-08,25
2013-11-09,44
2013-11-10,8
2013-11-11,0
2013-11-12,0
2013-11-13,5
2013-11-14,1
2013-11-15,12
2013-11-16,5
2013-11-17,5
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-23,7
2013-11-24,4
2013-11-25,0
2013-11-26,0
2013-11-27,1
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,3
2013-12-04,4
2013-12-05,1
2013-12-06,1
2013-12-07,0
2013-12-08,0
2013-12-11,0
2013-12-12,14
2013-12-13,0
2013-12-14,101
2013-12-15,0
2014-05-01,43
2014-05-02,51
2014-05-03,45
2014-05-04,49
2014-05-05,24
2014-05-06,39
2014-05-07,41
2014-05-08,43
2014-05-09,34
2014-05-10,66
2014-05-11,65
2014-05-12,100
2014-05-13,134
2014-05-14,116
2014-05-15,100
2014-05-16,102
2014-05-17,215
2014-05-18,4943
2014-05-19,137
2014-05-20,126
2014-05-21,212
2014-05-22,178
2014-05-23,165
2014-05-24,165
2014-05-25,199
2014-05-26,159
2014-05-27,309
2014-05-28,809
2014-05-29,244
2014-05-30,324
2014-05-31,494
2014-06-01,430
2014-06-02,577
2014-06-03,353
2014-06-04,452
2014-06-05,482
2014-06-06,492
2014-06-07,935
2014-06-08,781
2014-06-09,691
2014-06-10,512
2014-06-11,392
2014-06-12,269
2014-06-13,2265
2014-06-14,884
2014-06-15,930
2014-06-16,453
2014-06-18,0
2014-06-19,577
2014-06-20,450
2014-06-21,342
2014-06-22,402
2014-06-23,454
2014-06-24,316
2014-06-25,394
2014-06-26,791
2014-06-27,739
2014-06-28,878
2014-06-29,841
2014-06-30,788
2014-07-01,1059
2014-07-02,1112
2014-07-03,554
2014-07-04,342
2014-07-05,724
2014-07-06,731
2014-07-07,538
2014-07-08,630
2014-07-09,472
2014-07-10,529
2014-07-11,803
2014-07-12,1020
2014-07-13,920
2014-07-14,1368
2014-07-15,867
2014-07-16,834
2014-07-17,730
2014-07-18,427
2014-07-19,546
2014-07-20,736
2014-07-21,745
2014-07-22,734
2014-07-23,530
2014-07-24,497
2014-07-25,227
2014-07-26,472
2014-07-27,321
2014-07-28,455
2014-07-29,397
2014-07-30,301
2014-07-31,273
2014-08-01,414
2014-08-02,223
2014-08-03,104
2014-08-04,298
2014-08-05,313
2014-08-06,382
2014-08-07,255
2014-08-08,378
2014-08-09,437
2014-08-10,1971
2014-08-11,1094
2014-08-12,306
2014-08-13,486
2014-08-14,211
2014-08-15,269
2014-08-16,301
2014-08-17,412
2014-08-18,217
2014-08-19,232
2014-08-20,200
2014-08-21,330
2014-08-22,293
2014-08-23,301
2014-08-24,200
2014-08-25,355
2014-08-26,260
2014-08-27,125
2014-08-28,190
2014-08-29,300
2014-08-30,199
2014-08-31,296
2014-09-01,256
2014-09-02,274
2014-09-03,111
2014-09-04,126
2014-09-05,202
2014-09-06,210
