Date,Mosq
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-20,8
2011-05-21,2
2011-05-23,1
2011-05-24,4
2011-05-25,4
2011-05-26,3
2011-05-31,9
2011-06-01,3
2011-06-02,7
2011-06-03,8
2011-06-04,5
2011-06-05,4
2011-06-06,3
2011-06-07,4
2011-06-08,3
2011-06-09,0
2011-06-10,4
2011-06-11,2
2011-06-12,2
2011-06-13,0
2011-06-14,1
2011-06-15,55
2011-06-16,4
2011-06-17,4
2011-06-18,2
2011-06-19,5
2011-06-20,1
2011-06-21,41
2011-06-22,4
2011-06-23,0
2011-06-24,0
2011-06-25,3
2011-06-26,0
2011-06-27,2
2011-06-28,1
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,5
2011-07-23,2
2011-07-24,2
2011-07-25,8
2011-07-26,2
2011-07-27,0
2011-07-28,0
2011-07-29,5
2011-07-30,7
2011-07-31,0
2011-08-01,0
2011-08-02,3
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,1
2011-08-07,0
2011-08-08,0
2011-08-09,0
2011-08-10,0
2011-08-11,0
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,16
2011-08-27,14
2011-08-28,16
2011-08-29,31
2011-08-30,13
2011-08-31,15
2011-09-01,8
2011-09-02,9
2011-09-03,11
2011-09-04,8
2011-09-05,16
2011-09-06,16
2011-09-07,20
2011-09-08,18
2011-09-09,19
2011-09-10,13
2011-09-11,22
2011-09-12,12
2011-09-13,39
2011-09-14,14
2011-09-15,12
2011-09-16,25
2011-09-17,31
2011-09-18,38
2011-09-19,6
2011-09-20,10
2011-09-21,4
2011-09-22,5
2011-09-23,12
2011-09-24,9
2011-09-25,17
2011-09-26,14
2011-09-27,5
2011-09-28,7
2011-09-29,17
2011-09-30,14
2011-10-01,23
2011-10-02,38
2011-10-03,3
2011-10-04,1
2011-10-05,9
2011-10-06,22
2011-10-07,13
2011-10-08,12
2011-10-09,6
2011-10-10,9
2011-10-11,12
2011-10-12,12
2011-10-13,4
2011-10-14,8
2011-10-15,2
2011-10-16,3
2011-10-17,12
2011-10-18,1
2011-10-19,1
2011-10-20,3
2011-10-21,5
2011-10-22,12
2011-10-23,6
2011-10-24,5
2011-10-25,1
2011-10-26,1
2011-10-27,1
2011-10-28,3
2011-10-29,5
2011-10-30,2
2011-10-31,3
2012-05-06,3
2012-05-07,0
2012-05-08,33
2012-05-09,164
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,2
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,1
2012-05-19,0
2012-05-20,1
2012-05-21,0
2012-05-22,2
2012-05-23,1
2012-05-24,0
2012-05-25,3
2012-05-26,1
2012-05-27,4
2012-05-28,3
2012-05-29,5
2012-05-30,1
2012-05-31,0
2012-06-01,5
2012-06-02,2
2012-06-03,9
2012-06-04,20
2012-06-05,3
2012-06-06,0
2012-06-07,2
2012-06-08,4
2012-06-09,4
2012-06-10,2
2012-06-11,2
2012-06-12,1
2012-06-13,0
2012-06-14,0
2012-06-15,1
2012-06-16,0
2012-06-17,4
2012-06-18,5
2012-06-19,0
2012-06-20,3
2012-06-21,2
2012-06-22,1
2012-06-23,0
2012-06-24,1
2012-06-25,0
2012-06-26,0
2012-06-27,1
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,1
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,5
2012-07-10,1
2012-07-11,0
2012-07-12,1
2012-07-13,0
2012-07-14,1
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,1
2012-07-21,1
2012-07-22,0
2012-07-23,9
2012-07-24,16
2012-07-25,1
2012-07-26,9
2012-07-27,9
2012-07-28,5
2012-07-29,3
2012-07-30,3
2012-07-31,9
2012-08-01,8
2012-08-02,4
2012-08-03,15
2012-08-04,4
2012-08-05,7
2012-08-06,12
2012-08-07,1
2012-08-08,16
2012-08-09,1
2012-08-10,1
2012-08-11,4
2012-08-12,5
2012-08-13,14
2012-08-14,8
2012-08-15,7
2012-08-16,5
2012-08-17,15
2012-08-18,4
2012-08-19,2
2012-08-20,2
2012-08-21,3
2012-08-22,7
2012-08-23,3
2012-08-24,2
2012-08-25,6
2012-08-26,0
2012-08-27,7
2012-08-28,15
2012-08-29,17
2012-08-30,12
2012-08-31,6
2012-09-01,13
2012-09-02,47
2012-09-03,30
2012-09-04,27
2012-09-05,12
2012-09-06,112
2012-09-07,15
2012-09-08,19
2012-09-09,53
2012-09-10,21
2012-09-11,10
2012-09-12,19
2012-09-13,58
2012-09-14,11
2012-09-15,8
2012-09-16,7
2012-09-17,11
2012-09-18,1
2012-09-19,12
2012-09-20,19
2012-09-21,16
2012-09-22,3
2012-09-23,6
2012-09-24,5
2012-09-25,55
2012-09-26,30
2012-09-27,3
2012-09-28,3
2012-09-29,5
2012-09-30,2
2012-10-01,2
2012-10-02,8
2012-10-03,1
2012-10-04,1
2012-10-05,3
2012-10-06,2
2012-10-07,11
2012-10-08,12
2012-10-09,6
2012-10-10,3
2012-10-11,0
2012-10-12,0
2012-10-13,2
2012-10-14,2
2012-10-15,1
2013-06-19,0
2013-06-20,18
2013-06-21,81
2013-06-22,126
2013-06-23,104
2013-06-24,99
2013-06-25,96
2013-06-26,143
2013-06-27,101
2013-06-28,117
2013-06-29,129
2013-06-30,0
2013-07-01,68
2013-07-02,44
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,97
2013-07-20,45504
2013-07-21,59227
2013-07-22,10865
2013-07-23,68
2013-07-24,108
2013-07-25,104
2013-07-26,101
2013-07-27,60
2013-07-28,46
2013-07-29,66
2013-07-30,94
2013-07-31,73
2013-08-01,69
2013-08-02,66
2013-08-03,32
2013-08-04,86
2013-08-05,92
2013-08-06,65
2013-08-07,47
2013-08-08,469
2013-08-09,59
2013-08-10,140
2013-08-11,139
2013-08-12,233
2013-08-13,146
2013-08-14,32
2013-08-16,3
2013-08-17,39
2013-08-18,437
