Date,Mosq
2013-06-19,0
2013-06-20,0
2013-06-21,11
2013-06-22,49
2013-06-23,56
2013-06-24,43
2013-06-25,53
2013-06-26,45
2013-06-27,143
2013-06-28,32
2013-06-29,55
2013-06-30,0
2013-07-01,60
2013-07-02,74
2013-07-03,553
2013-07-04,181
2013-07-05,62
2013-07-06,329
2013-07-07,93
2013-07-08,84
2013-07-09,69
2013-07-10,67
2013-07-12,67
2013-07-13,76
2013-07-14,89
2013-07-15,29
2013-07-16,68
2013-07-17,97
2013-07-18,16
2013-07-19,31
2013-07-20,76
2013-07-21,40
2013-07-22,72
2013-07-23,86
2013-07-24,114
2013-07-25,61
2013-07-26,30
2013-07-27,27
2013-07-28,22
2013-07-29,28
2013-07-30,72
2013-07-31,35
2013-08-01,33
2013-08-02,46
2013-08-03,23
2013-08-04,29
2013-08-05,49
2013-08-06,33
2013-08-07,60
2013-08-08,26
2013-08-09,32
2013-08-10,22
2013-08-11,16
2013-08-12,15
2013-08-13,182
2013-08-14,10
2013-08-16,1
2013-08-17,17
2013-08-18,11
2013-08-19,19
2013-08-20,22
2013-08-21,12
2013-08-22,21
2013-08-23,168
2013-08-24,19
2013-08-25,29
2013-08-26,31
2013-08-27,21
2013-08-28,24
2013-08-29,28
2013-08-30,27
2013-08-31,37
2013-09-01,33
2013-09-02,38
2013-09-04,23
2013-09-05,22
2013-09-06,28
2013-09-07,32
2013-09-08,28
2013-09-09,22
2013-09-10,39
2013-09-11,44
2013-09-12,28
2013-09-13,9
2013-09-14,29
2013-09-15,29
2013-09-16,30
2013-09-17,41
2013-09-18,27
2013-09-19,39
2013-09-20,37
2013-09-21,392
2013-09-22,2687
2013-09-23,2816
2013-09-24,338
2013-09-25,36
2013-09-26,18
2013-09-27,16
2013-09-28,19
2013-09-29,8
2013-09-30,22
2013-10-01,47
2013-10-02,31
2013-10-03,19
2013-10-04,34
2013-10-05,36
2013-10-06,51
2013-10-07,63
2013-10-08,29
2013-10-09,47
2013-10-10,51
2013-10-11,42
2013-10-12,23
2013-10-13,29
2013-10-14,77
2013-10-15,329
2013-10-16,60
2013-10-17,23
2013-10-18,8
2013-10-19,9
2013-10-20,23
2013-10-21,15
2013-10-22,28
2013-10-23,26
2013-10-24,17
2013-10-25,10
2013-10-26,3
2013-10-27,5
2013-10-28,8
2013-10-29,9
2013-10-30,1
2013-10-31,8
2013-11-01,11
2013-11-02,9
2013-11-03,6
2013-11-04,7
2013-11-05,6
2013-11-06,6
2013-11-07,7
2013-11-08,6
2013-11-09,6
2013-11-10,2
2013-11-11,0
2013-11-12,1
2013-11-13,0
2013-11-14,1
2013-11-15,5
2013-11-16,12
2013-11-17,2
2013-11-18,0
2013-11-19,0
2013-11-20,5
2013-11-21,1
2013-11-22,0
2013-11-23,2
2013-11-24,2
2013-11-25,8
2013-11-26,0
2013-11-27,1
2013-11-28,0
2013-11-29,0
2013-11-30,2
2013-12-01,0
2013-12-02,0
2013-12-03,3
2013-12-04,2
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-11,0
2013-12-12,5
2013-12-13,0
2013-12-14,282
2013-12-15,0
2014-05-01,22
2014-05-02,59
2014-05-03,8
2014-05-04,14
2014-05-05,10
2014-05-06,12
2014-05-07,31
2014-05-08,18
2014-05-09,60
2014-05-10,141
2014-05-11,79
2014-05-12,26
2014-05-13,75
2014-05-14,116
2014-05-15,28
2014-05-16,72
2014-05-17,64
2014-05-18,52
2014-05-19,58
2014-05-20,54
2014-05-21,27
2014-05-22,45
2014-05-23,58
2014-05-24,62
2014-05-25,40
2014-05-26,32
2014-05-27,44
2014-05-28,77
2014-05-29,41
2014-05-30,39
2014-05-31,37
2014-06-01,24
2014-06-02,34
2014-06-03,23
2014-06-04,34
2014-06-05,35
2014-06-06,47
2014-06-07,53
2014-06-08,36
2014-06-09,56
2014-06-10,70
2014-06-11,40
2014-06-12,34
2014-06-13,41
2014-06-14,45
2014-06-15,62
2014-06-16,34
2014-06-18,0
2014-06-19,67
2014-06-20,67
2014-06-21,47
2014-06-22,58
2014-06-23,47
2014-06-24,43
2014-06-25,44
2014-06-26,67
2014-06-27,48
2014-06-28,67
2014-06-29,57
2014-06-30,59
2014-07-01,82
2014-07-02,67
2014-07-03,67
2014-07-04,29
2014-07-05,53
2014-07-06,55
2014-07-07,62
2014-07-08,57
2014-07-09,52
2014-07-10,31
2014-07-11,73
2014-07-12,84
2014-07-13,66
2014-07-14,93
2014-07-15,76
2014-07-16,91
2014-07-17,69
2014-07-18,77
2014-07-19,62
2014-07-20,126
2014-07-21,99
2014-07-22,102
2014-07-23,147
2014-07-24,83
2014-07-25,58
2014-07-26,207
2014-07-27,1404
2014-07-28,1136
2014-07-29,91
2014-07-30,103
2014-07-31,39
2014-08-01,35
2014-08-02,42
2014-08-03,15
2014-08-04,46
2014-08-05,36
2014-08-06,49
2014-08-07,43
2014-08-08,55
2014-08-09,34
2014-08-10,33
2014-08-11,27
2014-08-12,71
2014-08-13,59
2014-08-14,58
2014-08-15,32
2014-08-16,46
2014-08-17,59
2014-08-18,36
2014-08-19,43
2014-08-20,28
2014-08-21,34
2014-08-22,33
2014-08-23,30
2014-08-24,44
2014-08-25,28
2014-08-26,16
2014-08-27,15
2014-08-28,19
2014-08-29,23
2014-08-30,24
2014-08-31,30
2014-09-01,35
2014-09-02,332
2014-09-03,24
2014-09-04,10
2014-09-05,27
2014-09-06,29
2014-09-07,30
