Date,Mosq
2014-05-01,24
2014-05-02,32
2014-05-03,1
2014-05-04,20
2014-05-05,3
2014-05-06,6
2014-05-07,25
2014-05-08,33
2014-05-09,9
2014-05-10,18
2014-05-11,46
2014-05-12,44
2014-05-13,54
2014-05-14,107
2014-05-15,41
2014-05-16,3
2014-05-17,11
2014-05-18,76
2014-05-19,86
2014-05-20,26
2014-05-21,60
2014-05-22,99
2014-05-23,110
2014-05-24,95
2014-05-25,84
2014-05-26,55
2014-05-27,122
2014-05-28,167
2014-05-29,125
2014-05-30,91
2014-05-31,99
2014-06-01,120
2014-06-02,119
2014-06-03,110
2014-06-04,112
2014-06-05,163
2014-06-06,164
2014-06-07,220
2014-06-08,224
2014-06-09,267
2014-06-10,385
2014-06-11,574
2014-06-12,629
2014-06-13,60
2014-06-14,24
2014-06-15,24
2014-06-16,19
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,0
2014-11-05,62
2014-11-06,72
2014-11-07,32
2014-11-08,46
2014-11-09,47
2014-11-10,33
2014-11-11,25
2014-11-12,15
2014-11-13,43
2014-11-14,35
2014-11-15,67
2014-11-16,93
2014-11-17,146
2014-11-18,146
2014-11-19,152
2014-11-20,106
2014-11-21,77
2014-11-22,60
2014-11-23,58
2014-11-24,68
2014-11-25,80
2014-11-26,57
2014-11-27,74
2014-11-28,115
2014-11-29,110
2014-11-30,27
2014-12-01,19
2014-12-02,19
2014-12-03,29
2014-12-04,37
2014-12-05,30
2014-12-06,16
2014-12-07,12
2014-12-08,26
2014-12-09,25
2014-12-10,44
2014-12-11,151
2014-12-12,296
2014-12-13,422
2014-12-14,219
2014-12-15,2776
2014-12-16,338
2014-12-17,295
2014-12-18,255
2014-12-19,187
2014-12-20,467
2014-12-21,322
2014-12-22,387
2014-12-23,396
2014-12-24,463
2014-12-25,501
2014-12-26,176
2014-12-27,173
2014-12-28,346
2014-12-29,437
2014-12-30,391
2014-12-31,497
2015-01-01,592
2015-01-02,578
2015-01-03,492
2015-01-04,672
2015-01-05,755
2015-01-06,770
2015-01-07,288
2015-01-08,218
2015-01-09,179
2015-01-10,30
2015-01-11,3
2015-01-12,5
2015-01-13,17
2015-01-14,12
2015-01-15,4
2015-01-16,6
2015-01-17,4
2015-01-18,2
2015-01-19,17
2015-01-20,34
2015-01-21,26
2015-01-22,6
2015-01-23,24
2015-01-24,11
2015-01-25,7
2015-01-26,3
2015-01-27,4
2015-01-28,13
2015-01-29,14
2015-01-30,23
2015-01-31,13
2015-02-01,17
2015-02-02,7
2015-02-03,2
2015-02-04,6
2015-02-05,18
2015-02-06,66
2015-02-07,211
2015-02-08,198
2015-02-09,236
2015-02-10,190
2015-02-11,106
2015-02-12,178
2015-02-13,225
2015-02-14,188
2015-02-15,103
2015-02-16,18
2015-02-17,2
2015-02-18,8
2015-02-19,5
2015-02-20,4
2015-02-21,5
2015-02-22,18
2015-02-23,15
2015-02-24,6
2015-02-25,2
2015-02-26,2
2015-02-27,7
2015-02-28,7
2015-03-01,10
2015-03-02,8
2015-03-03,6
2015-03-04,4
2015-03-05,27
2015-03-06,110
2015-03-07,97
2015-03-08,170
2015-03-09,95
2015-03-10,99
2015-03-11,63
2015-03-12,36
2015-03-13,39
2015-03-14,79
2015-03-15,75
2015-03-16,48
2015-03-17,40
2015-03-18,23
2015-03-19,21
2015-03-20,57
2015-03-21,15
2015-03-22,9
2015-03-23,17
2015-03-24,2
2015-03-25,2
2015-03-26,4
2015-03-27,1
2015-03-28,2
2015-03-29,2
2015-03-30,0
2015-03-31,1
2015-04-01,1
2015-04-02,1
2015-04-03,3
2015-04-04,1
2015-04-05,1
2015-04-06,0
2015-04-07,0
2015-04-08,1
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,1
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,1
2015-04-23,1
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,0
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,1
2015-05-04,0
2015-05-05,1
2015-05-06,0
2015-05-07,1
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,2
2015-06-11,0
