Date,Mosq
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,12
2011-05-05,12
2011-05-06,2
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,1
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,9
2011-05-18,14
2011-05-19,7
2011-05-20,25
2011-05-21,8
2011-05-22,23
2011-05-23,0
2011-05-24,10
2011-05-25,16
2011-05-26,15
2011-05-27,5
2011-05-28,4
2011-05-29,12
2011-05-30,2
2011-05-31,3
2011-06-01,3
2011-06-02,29
2011-06-03,6
2011-06-04,12
2011-06-05,3
2011-06-06,4
2011-06-07,14
2011-06-08,10
2011-06-09,13
2011-06-10,11
2011-06-11,11
2011-06-12,10
2011-06-13,0
2011-06-14,39
2011-06-15,1
2011-06-16,1
2011-06-17,12
2011-06-18,3
2011-06-19,11
2011-06-20,7
2011-06-21,0
2011-06-22,6
2011-06-23,12
2011-06-24,7
2011-06-25,1
2011-06-26,4
2011-06-27,8
2011-06-28,7
2011-06-29,2
2011-06-30,10
2011-07-01,10
2011-07-02,5
2011-07-03,6
2011-07-04,10
2011-07-05,2
2011-07-06,0
2011-07-07,1
2011-07-08,1
2011-07-09,8
2011-07-10,9
2011-07-11,4
2011-07-12,6
2011-07-13,6
2011-07-14,4
2011-07-15,6
2011-07-16,7
2011-07-17,4
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,6
2011-07-22,2
2011-07-23,0
2011-07-24,6
2011-07-25,2
2011-07-26,0
2011-07-27,0
2011-07-28,3
2011-07-29,2
2011-07-30,2
2011-07-31,1
2011-08-01,1
2011-08-02,0
2011-08-03,1
2011-08-04,1
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,0
2011-08-09,2
2011-08-10,1
2011-08-11,0
2011-08-12,0
2011-08-13,2
2011-08-14,1
2011-08-15,2
2011-08-16,2
2011-08-17,25
2011-08-18,20
2011-08-19,16
2011-08-20,29
2011-08-21,16
2011-08-22,14
2011-08-23,46
2011-08-24,42
2011-08-25,6
2011-08-26,14
2011-08-27,24
2011-08-28,53
2011-08-29,49
2011-08-30,48
2011-08-31,40
2011-09-01,9
2011-09-02,21
2011-09-03,9
2011-09-04,64
2011-09-05,43
2011-09-06,9
2011-09-07,4
2011-09-08,4
2011-09-09,0
2011-09-10,5
2011-09-11,1
2011-09-12,1
2011-09-13,2
2011-09-14,7
2011-09-15,0
2011-09-16,1
2011-09-17,0
2011-09-18,2
2011-09-19,3
2011-09-20,2
2011-09-21,2
2011-09-22,0
2011-09-23,0
2011-09-24,2
2011-09-25,1
2011-09-26,1
2011-09-27,3
2011-09-28,0
2011-09-29,0
2011-09-30,2
2011-10-01,0
2011-10-02,0
2011-10-03,1
2011-10-04,0
2011-10-05,0
2011-10-06,0
2011-10-07,0
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,0
2011-10-12,0
2011-10-13,1
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,1
2011-10-24,2
2011-10-25,2
2011-10-26,1
2011-10-27,0
2011-10-28,1
2011-10-29,3
2011-10-30,0
2011-10-31,4
2011-11-01,0
2011-11-02,1
2011-11-03,1
2011-11-04,1
2011-11-05,2
2011-11-06,1
2011-11-07,0
2011-11-08,2
2011-11-09,0
2011-11-10,1
2011-11-11,0
2011-11-12,0
2011-11-13,3
2011-11-14,3
2011-11-15,2
2011-11-16,3
2011-11-17,4
2011-11-18,0
2011-11-19,2
2011-11-20,1
2011-11-21,2
2011-11-22,0
2011-11-23,1
2011-11-24,5
2011-11-25,1
2011-11-26,3
2011-11-27,3
2011-11-28,5
2011-11-29,2
2011-11-30,2
2011-12-01,1
2011-12-02,2
2011-12-03,4
2011-12-04,5
2011-12-05,10
2011-12-06,5
2011-12-07,4
2011-12-08,2
2011-12-09,6
2011-12-10,6
2011-12-11,1
2011-12-12,4
2011-12-13,0
2011-12-14,1
2011-12-15,8
2011-12-16,0
2011-12-17,0
2011-12-18,1
2011-12-19,2
2011-12-20,0
2011-12-21,1
2011-12-22,1
