Date,Mosq
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,89
2013-06-23,73
2013-06-24,49
2013-06-25,96
2013-06-26,99
2013-06-27,103
2013-06-28,80
2013-06-29,113
2013-06-30,0
2013-07-01,90
2013-07-02,65
2013-07-03,46
2013-07-04,45
2013-07-05,65
2013-07-06,56
2013-07-07,67
2013-07-08,53
2013-07-09,58
2013-07-10,57
2013-07-12,63
2013-07-13,63
2013-07-14,45
2013-07-15,36
2013-07-16,64
2013-07-17,51
2013-07-18,45
2013-07-19,71
2013-07-20,216
2013-07-21,78
2013-07-22,91
2013-07-23,79
2013-07-24,916
2013-07-25,61
2013-07-26,73
2013-07-27,87
2013-07-28,88
2013-07-29,64
2013-07-30,81
2013-07-31,93
2013-08-01,87
2013-08-02,84
2013-08-03,65
2013-08-04,75
2013-08-05,85
2013-08-06,78
2013-08-07,82
2013-08-08,73
2013-08-09,88
2013-08-10,108
2013-08-11,85
2013-08-12,73
2013-08-13,74
2013-08-14,48
2013-08-16,8
2013-08-17,39
2013-08-18,46
2013-08-19,55
2013-08-20,71
2013-08-21,96
2013-08-22,87
2013-08-23,34
2013-08-24,49
2013-08-25,56
2013-08-26,60
2013-08-27,40
2013-08-28,31
2013-08-29,32
2013-08-30,35
2013-08-31,45
2013-09-01,50
2013-09-02,47
2013-09-04,38
2013-09-05,37
2013-09-06,33
2013-09-07,38
2013-09-08,61
2013-09-09,58
2013-09-10,56
2013-09-11,52
2013-09-12,22
2013-09-13,15
2013-09-14,67
2013-09-15,87
2013-09-16,81
2013-09-17,51
2013-09-18,53
2013-09-19,54
2013-09-20,40
2013-09-21,57
2013-09-22,82
2013-09-23,63
2013-09-24,66
2013-09-25,49
2013-09-26,51
2013-09-27,45
2013-09-28,41
2013-09-29,23
2013-09-30,32
2013-10-01,68
2013-10-02,63
2013-10-03,28
2013-10-04,47
2013-10-05,46
2013-10-06,41
2013-10-07,68
2013-10-08,37
2013-10-09,48
2013-10-10,52
2013-10-11,47
2013-10-12,35
2013-10-13,41
2013-10-14,49
2013-10-15,41
2013-10-16,4
2013-10-17,6
2013-10-18,10
2013-10-19,20
2013-10-20,30
2013-10-21,44
2013-10-22,105
2013-10-23,27
2013-10-24,27
2013-10-25,5
2013-10-26,7
2013-10-27,7
2013-10-28,15
2013-10-29,5
2013-10-30,4
2013-10-31,9
2013-11-01,15
2013-11-02,20
2013-11-03,4
2013-11-04,12
2013-11-05,19
2013-11-06,8
2013-11-07,7
2013-11-08,4
2013-11-09,10
2013-11-10,6
2013-11-11,0
2013-11-12,0
2013-11-13,4
2013-11-14,1
2013-11-15,5
2013-11-16,4
2013-11-17,2
2013-11-18,1
2013-11-19,2
2013-11-20,0
2013-11-21,1
2013-11-22,0
2013-11-23,2
2013-11-24,2
2013-11-25,0
2013-11-26,1
2013-11-27,2
2013-11-28,0
2013-11-29,1
2013-11-30,1
2013-12-01,1
2013-12-02,0
2013-12-03,1
2013-12-04,0
2013-12-05,0
2013-12-06,1
2013-12-07,1
2013-12-08,1
2013-12-11,0
2013-12-12,11
2013-12-13,0
2013-12-14,166
2013-12-15,0
2014-05-01,26
2014-05-02,44
2014-05-03,8
2014-05-04,18
2014-05-05,8
2014-05-06,8
2014-05-07,11
2014-05-08,3
2014-05-09,15
2014-05-10,56
2014-05-11,63
2014-05-12,18
2014-05-13,21
2014-05-14,57
2014-05-15,27
2014-05-16,29
2014-05-17,31
2014-05-18,26
2014-05-19,38
2014-05-20,69
2014-05-21,39
2014-05-22,28
2014-05-23,30
2014-05-24,39
2014-05-25,37
2014-05-26,16
2014-05-27,58
2014-05-28,65
2014-05-29,44
2014-05-30,43
2014-05-31,55
2014-06-01,32
2014-06-02,42
2014-06-03,37
2014-06-04,42
2014-06-05,81
2014-06-06,94
2014-06-07,71
2014-06-08,52
2014-06-09,49
2014-06-10,67
2014-06-11,78
2014-06-12,50
2014-06-13,53
2014-06-14,60
2014-06-15,73
2014-06-16,22
2014-06-18,0
2014-06-19,40
2014-06-20,36
2014-06-21,43
2014-06-22,48
2014-06-23,41
2014-06-24,61
2014-06-25,60
2014-06-26,70
2014-06-27,89
2014-06-28,78
2014-06-29,86
2014-06-30,89
2014-07-01,121
2014-07-02,136
2014-07-03,142
2014-07-04,79
2014-07-05,134
2014-07-06,131
2014-07-07,134
2014-07-08,103
2014-07-09,74
2014-07-10,50
2014-07-11,89
2014-07-12,65
2014-07-13,116
2014-07-14,137
2014-07-15,94
2014-07-16,102
2014-07-17,58
2014-07-18,51
2014-07-19,71
2014-07-20,104
2014-07-21,109
2014-07-22,94
2014-07-23,106
2014-07-24,84
2014-07-25,55
2014-07-26,89
2014-07-27,67
2014-07-28,74
2014-07-29,98
2014-07-30,84
2014-07-31,43
2014-08-01,65
2014-08-02,69
2014-08-03,43
2014-08-04,47
2014-08-05,45
2014-08-06,46
2014-08-07,36
2014-08-08,73
2014-08-09,69
2014-08-10,69
2014-08-11,51
2014-08-12,71
2014-08-13,81
2014-08-14,43
2014-08-15,46
2014-08-16,82
2014-08-17,55
2014-08-18,38
2014-08-19,65
2014-08-20,71
2014-08-21,67
2014-08-22,91
2014-08-23,67
2014-08-24,59
2014-08-25,51
2014-08-26,44
2014-08-27,60
2014-08-28,52
2014-08-29,93
2014-08-30,59
2014-08-31,86
2014-09-01,51
2014-09-02,46
2014-09-03,52
2014-09-04,57
2014-09-05,62
2014-09-06,71
2014-09-07,57
2014-09-08,48
