Date,Mosq
2012-05-16,3
2012-05-17,0
2012-05-18,0
2012-05-19,5
2012-05-20,0
2012-05-21,5
2012-05-22,3
2012-05-23,5
2012-05-24,3
2012-05-25,0
2012-05-26,4
2012-05-27,2
2012-05-28,5
2012-05-29,0
2012-05-30,4
2012-05-31,0
2012-06-01,3
2012-06-02,270
2012-06-03,1
2012-06-04,1
2012-06-05,1
2012-06-06,2
2012-06-07,11
2012-06-08,0
2012-06-09,0
2012-06-10,8
2012-06-11,8
2012-06-12,10
2012-06-13,5
2012-06-14,14
2012-06-15,6
2012-06-16,2
2012-06-17,0
2012-06-18,20
2012-06-19,26
2012-06-20,0
2012-06-21,18
2012-06-22,16
2012-06-23,27
2012-06-24,1
2012-06-25,2
2012-06-26,42
2012-06-27,15
2012-06-28,42
2012-06-29,42
2012-06-30,4
2012-07-01,154
2012-07-02,194
2012-07-03,68
2012-07-04,0
2012-07-05,9
2012-07-06,10
2012-07-07,14
2012-07-08,16
2012-07-09,10
2012-07-10,17
2012-07-11,32
2012-07-12,29
2012-07-13,42
2012-07-14,19
2012-07-15,20
2012-07-16,4
2012-07-17,0
2012-07-18,14
2012-07-19,6
2012-07-20,11
2012-07-21,14
2012-07-22,21
2012-07-23,32
2012-07-24,18
2012-07-25,98
2012-07-26,66
2012-07-27,14
2012-07-28,119
2012-07-29,231
2012-07-30,438
2012-07-31,492
2012-08-01,178
2012-08-02,49
2012-08-03,292
2012-08-04,160
2012-08-05,99
2012-08-06,12
2012-08-07,13
2012-08-08,42
2012-08-09,8
2012-08-10,40
2012-08-11,111
2012-08-12,67
2012-08-13,156
2012-08-14,710
2012-08-15,1142
2012-08-16,1196
2012-08-17,813
2012-08-18,916
2012-08-19,171
2012-08-20,334
2012-08-21,490
2012-08-22,198
2012-08-23,118
2012-08-24,132
2012-08-25,184
2012-08-26,71
2012-08-27,43
2012-08-28,43
2012-08-29,34
2012-08-30,58
2012-08-31,18
2012-09-01,59
2012-09-02,84
2012-09-03,49
2012-09-04,22
2012-09-05,38
2012-09-06,38
2012-09-07,82
2012-09-08,6
2012-09-09,76
2012-09-10,2328
2012-09-11,20
2012-09-12,18
2012-09-13,33
2012-09-14,22
2012-09-15,14
2012-09-16,6
2012-09-17,44
2012-09-18,30
2012-09-19,45
2012-09-20,7
2012-09-21,58
2012-09-22,60
2012-09-23,57
2012-09-24,31
2012-09-25,84
2012-09-26,73
2012-09-27,8737
2012-09-28,2682
2012-09-29,8
2012-09-30,168
2012-10-01,67
2012-10-02,166
2012-10-03,41
2012-10-04,30
2012-10-05,12
2012-10-06,19
2012-10-07,148
2012-10-08,17
2012-10-09,11
2012-10-10,5
2012-10-11,82
2012-10-12,76
2012-10-13,47
2012-10-14,0
2012-10-15,0
2012-10-16,415
2012-10-17,830
2012-10-18,354
2012-10-19,529
2012-10-20,426
2012-10-21,335
2012-10-22,395
2012-10-23,571
2012-10-24,294
2012-10-25,0
2012-10-26,365
2012-10-27,1081
2012-10-28,2455
2012-10-29,422
2012-10-30,5250
2012-10-31,997
2012-11-01,592
2012-11-02,1183
2012-11-03,1416
2012-11-04,3442
2012-11-05,3201
2012-11-06,861
2012-11-07,997
2012-11-08,7211
2012-11-09,5892
2012-11-10,9868
2012-11-11,239
2012-11-12,804
2012-11-13,594
2012-11-14,1857
2012-11-15,2495
2012-11-16,3532
2012-11-17,813
2012-11-18,602
2012-11-19,648
2012-11-20,496
2012-11-21,472
2012-11-22,732
2012-11-23,992
2012-11-24,701
2012-11-25,356
2012-11-26,315
2012-11-27,288
2012-11-28,420
2012-11-29,313
