Date,Mosq
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,1
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,7
2011-05-18,5
2011-05-19,4
2011-05-20,4
2011-05-21,11
2011-05-22,8
2011-05-23,6
2011-05-24,3
2011-05-25,9
2011-05-26,8
2011-05-27,1
2011-05-28,7
2011-05-29,14
2011-05-30,23
2011-05-31,16
2011-06-01,8
2011-06-02,20
2011-06-03,5
2011-06-04,3
2011-06-05,6
2011-06-06,4
2011-06-07,12
2011-06-08,8
2011-06-09,11
2011-06-10,11
2011-06-11,9
2011-06-12,39
2011-06-13,5
2011-06-14,7
2011-06-15,20
2011-06-16,21
2011-06-17,30
2011-06-18,10
2011-06-19,44
2011-06-20,28
2011-06-21,2
2011-06-22,15
2011-06-23,7
2011-06-24,23
2011-06-25,11
2011-06-26,12
2011-06-27,8
2011-06-28,11
2011-06-29,15
2011-06-30,3
2011-07-01,10
2011-07-02,6
2011-07-03,6
2011-07-04,1
2011-07-05,7
2011-07-06,6
2011-07-07,5
2011-07-08,0
2011-07-09,5
2011-07-10,40
2011-07-11,26
2011-07-12,21
2011-07-13,15
2011-07-14,21
2011-07-15,4
2011-07-16,23
2011-07-17,17
2011-07-18,13
2011-07-19,1
2011-07-20,1
2011-07-21,4
2011-07-22,6
2011-07-23,14
2011-07-24,4
2011-07-25,6
2011-07-26,5
2011-07-27,0
2011-07-28,6
2011-07-29,7
2011-07-30,1
2011-07-31,4
2011-08-01,8
2011-08-02,10
2011-08-03,7
2011-08-04,1
2011-08-05,2
2011-08-06,3
2011-08-07,0
2011-08-08,1
2011-08-09,0
2011-08-10,1
2011-08-11,22
2011-08-12,3
2011-08-13,1
2011-08-14,5
2011-08-15,2
2011-08-16,9
2011-08-17,16
2011-08-18,9
2011-08-19,22
2011-08-20,1
2011-08-21,25
2011-08-22,33
2011-08-23,25
2011-08-24,34
2011-08-25,32
2011-08-26,21
2011-08-27,30
2011-08-28,32
2011-08-29,34
2011-08-30,25
2011-08-31,39
2011-09-01,40
2011-09-02,39
2011-09-03,61
2011-09-04,56
2011-09-05,61
2011-09-06,66
2011-09-07,27
2011-09-08,62
2011-09-09,50
2011-09-10,43
2011-09-11,26
2011-09-12,33
2011-09-13,46
2011-09-14,41
2011-09-15,30
2011-09-16,30
2011-09-17,49
2011-09-18,22
2011-09-19,20
2011-09-20,25
2011-09-21,23
2011-09-22,10
2011-09-23,15
2011-09-24,7
2011-09-25,11
2011-09-26,16
2011-09-27,22
2011-09-28,10
2011-09-29,11
2011-09-30,12
2011-10-01,9
2011-10-02,7
2011-10-03,9
2011-10-04,8
2011-10-05,6
2011-10-06,0
2011-10-07,0
2011-10-08,1
2011-10-09,1
2011-10-10,1
2011-10-11,3
2011-10-12,1
2011-10-13,4
2011-10-14,1
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,2
2011-10-24,0
2011-10-25,30
2011-10-26,3
2011-10-27,0
2011-10-28,1
2011-10-29,1
2011-10-30,1
2011-10-31,2
2011-11-01,0
2011-11-02,1
2011-11-03,0
2011-11-04,0
2011-11-05,1
2011-11-06,0
2011-11-07,0
2011-11-08,3
2011-11-09,3
2011-11-10,3
2011-11-11,2
2011-11-12,0
2011-11-13,2
2011-11-14,1
2011-11-15,5
2011-11-16,0
2011-11-17,0
2011-11-18,0
2011-11-19,4
2011-11-20,5
2011-11-21,1
2011-11-22,0
2011-11-23,7
2011-11-24,0
2011-11-25,3
2011-11-26,5
2011-11-27,3
2011-11-28,1
2011-11-29,0
2011-11-30,2
2011-12-01,0
2011-12-02,1
2011-12-03,0
2011-12-04,1
2011-12-05,1
2011-12-06,1
2011-12-07,1
2011-12-08,0
2011-12-09,1
2011-12-10,0
2011-12-11,1
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-17,0
2011-12-18,2
2011-12-19,0
2011-12-20,0
2011-12-21,1
2011-12-22,0
2011-12-23,2
2011-12-24,2
2011-12-25,0
2011-12-26,2
2011-12-27,3
2011-12-28,1
2011-12-29,1
2011-12-30,0
2011-12-31,0
2012-01-01,1
2012-01-02,0
2012-01-03,9
2012-01-04,45
2012-01-05,47
2012-01-06,68
2012-01-07,16
2012-01-08,28
2012-01-09,31
2012-01-10,27
2012-01-11,35
2012-01-12,1
2012-01-13,15
2012-01-14,41
2012-01-15,40
2012-01-16,21
2012-01-17,0
2012-01-18,26
2012-01-19,33
2012-01-20,46
2012-01-21,3
2012-01-22,47
2012-01-23,1
2012-01-24,45
2012-01-25,30
2012-01-26,50
2012-01-27,33
2012-01-28,33
2012-01-29,42
2012-01-30,74
2012-01-31,48
2012-02-01,30
2012-02-02,13
2012-02-03,2
2012-02-04,18
2012-02-05,24
2012-02-06,3
2012-02-07,14
2012-02-08,24
2012-02-09,27
2012-02-10,5
2012-02-11,40
2012-02-12,38
2012-02-13,26
2012-02-14,18
2012-02-15,17
2012-02-16,2
2012-02-17,13
2012-02-18,14
2012-02-19,19
2012-02-20,11
2012-02-21,0
2012-02-22,26
2012-02-23,106
2012-02-24,23
2012-02-25,24
2012-02-26,25
2012-02-27,23
2012-02-28,22
2012-02-29,23
2012-03-01,4
2012-03-02,21
2012-03-03,15
2012-03-04,14
2012-03-05,16
2012-03-06,11
2012-03-07,14
2012-03-08,9
2012-03-09,9
2012-03-10,6
2012-03-11,15
2012-03-12,14
2012-03-13,12
2012-03-14,8
2012-03-15,21
2012-03-16,20
2012-03-17,16
2012-03-18,6
2012-03-19,7
2012-03-20,12
2012-03-21,1
2012-03-22,8
2012-03-23,7
2012-03-24,6
2012-03-25,2
2012-03-26,0
2012-03-27,0
2012-03-28,14
2012-03-29,20
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,7
2012-04-04,43
2012-04-05,0
2012-04-06,0
2012-04-07,4
2012-04-08,0
2012-04-09,25
2012-04-10,158
2012-04-11,60
2012-04-12,48
2012-04-13,61
2012-04-14,47
2012-04-15,48
2012-04-16,47
2012-04-17,20
2012-04-18,21
2012-04-19,42
2012-04-20,30
2012-04-21,34
2012-04-22,29
2012-04-23,38
2012-04-24,43
2012-04-25,146
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,9
2012-05-01,35
2012-05-02,33
2012-05-03,28
2012-05-04,33
2012-05-05,27
2012-05-06,23
2012-05-07,25
2012-05-08,33
2012-05-09,38
2012-05-10,36
2012-05-11,43
2012-05-12,17
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,2
2012-05-27,12
2012-05-28,19
2012-05-29,31
2012-05-30,24
