Date,Mosq
2012-05-16,0
2012-05-17,9
2012-05-18,0
2012-05-19,8
2012-05-20,10
2012-05-21,11
2012-05-22,0
2012-05-23,23
2012-05-24,9
2012-05-25,8
2012-05-26,22
2012-05-27,11
2012-05-28,9
2012-05-29,12
2012-05-30,4
2012-05-31,8
2012-06-01,3
2012-06-02,6
2012-06-03,7
2012-06-04,9
2012-06-05,4
2012-06-06,1
2012-06-07,6
2012-06-08,6
2012-06-09,9
2012-06-10,11
2012-06-11,0
2012-06-12,1
2012-06-13,28
2012-06-14,74
2012-06-15,73
2012-06-16,104
2012-06-17,110
2012-06-18,93
2012-06-19,151
2012-06-20,189
2012-06-21,266
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,46
2012-06-26,77
2012-06-27,107
2012-06-28,264
2012-06-29,57
2012-06-30,64
2012-07-01,128
2012-07-02,110
2012-07-03,66
2012-07-04,3
2012-07-05,0
2012-07-06,31
2012-07-07,105
2012-07-08,200
2012-07-09,171
2012-07-10,124
2012-07-11,13
2012-07-12,173
2012-07-13,2861
2012-07-14,549
2012-07-15,145
2012-07-16,70
2012-07-17,2
2012-07-18,229
2012-07-19,574
2012-07-20,170
2012-07-21,769
2012-07-22,837
2012-07-23,1073
2012-07-24,883
2012-07-25,1020
2012-07-26,2707
2012-07-27,2037
2012-07-28,2360
2012-07-29,32
2012-07-30,192
2012-07-31,746
2012-08-01,119
2012-08-02,63
2012-08-03,236
2012-08-04,2
2012-08-05,8
2012-08-06,4
2012-08-07,573
2012-08-08,572
2012-08-09,582
2012-08-10,1188
2012-08-11,687
2012-08-12,2
2012-08-13,609
2012-08-14,522
2012-08-15,1084
2012-08-16,1157
2012-08-17,73
2012-08-18,374
2012-08-19,275
2012-08-20,270
2012-08-21,192
2012-08-22,191
2012-08-23,169
2012-08-24,458
2012-08-25,537
2012-08-26,64
2012-08-27,32
2012-08-28,511
2012-08-29,50
2012-08-30,69
2012-08-31,95
2012-09-01,123
2012-09-02,38
2012-09-03,51
2012-09-04,54
2012-09-05,52
2012-09-06,52
2012-09-07,67
2012-09-08,3
2012-09-09,27
2012-09-10,242
2012-09-11,0
2012-09-12,2
2012-09-13,36
2012-09-14,82
2012-09-15,212
2012-09-16,79
2012-09-17,129
2012-09-18,111
