Date,Mosq
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,0
2013-06-23,0
2013-06-24,0
2013-06-25,0
2013-06-26,0
2013-06-27,0
2013-06-28,0
2013-06-29,0
2013-06-30,0
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,0
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,1
2013-07-16,0
2013-07-17,31
2013-07-18,30
2013-07-19,37
2013-07-20,48
2013-07-21,144
2013-07-22,352
2013-07-23,31
2013-07-24,33
2013-07-25,35
2013-07-26,35
2013-07-27,44
2013-07-28,27
2013-07-29,34
2013-07-30,25
2013-07-31,13
2013-08-01,31
2013-08-02,12
2013-08-03,24
2013-08-04,29
2013-08-05,86
2013-08-06,38
2013-08-07,24
2013-08-08,10
2013-08-09,24
2013-08-10,17
2013-08-11,14
2013-08-12,12
2013-08-13,2
2013-08-14,8
2013-08-15,18
2013-08-16,16
2013-08-17,26
2013-08-18,14
2013-08-19,23
2013-08-20,231
2013-08-21,29
2013-08-22,47
2013-08-23,40
2013-08-24,49
2013-08-25,34
2013-08-26,21
2013-08-27,36
2013-08-28,27
2013-08-29,27
2013-08-30,29
2013-08-31,24
2013-09-01,37
2013-09-02,35
2013-09-03,24
2013-09-04,45
2013-09-05,54
2013-09-06,40
2013-09-07,23
2013-09-08,5
2013-09-09,18
2013-09-10,34
2013-09-11,16
2013-09-12,29
2013-09-13,18
2013-09-14,13
2013-09-15,12
2013-09-16,18
2013-09-17,21
2013-09-18,16
2013-09-19,20
2013-09-20,20
2013-09-21,12
2013-09-22,11
2013-09-23,10
2013-09-24,8
2013-09-25,11
2013-09-26,22
2013-09-27,15
2013-09-28,18
2013-09-29,13
2013-09-30,13
2013-10-01,24
2013-10-02,19
2013-10-03,13
2013-10-04,14
2013-10-05,14
2013-10-06,90
2013-10-07,33
2013-10-08,48
2013-10-09,46
2013-10-10,14
2013-10-11,20
2013-10-12,19
2013-10-13,38
2013-10-14,51
2013-10-15,57
2013-10-16,39
2013-10-17,33
2013-10-18,46
2013-10-19,24
2013-10-20,17
2013-10-21,13
2013-10-22,20
2013-10-23,25
2013-10-24,24
2013-10-25,10
2013-10-26,19
2013-10-27,29
2013-10-28,7
2013-10-29,40
2013-10-30,9
2013-10-31,16
2013-11-01,10
2013-11-02,8
2013-11-03,14
2013-11-04,8
2013-11-05,1
2013-11-06,1
2013-11-07,0
2013-11-08,1
2013-11-09,6
2013-11-10,2
2013-11-11,3
2013-11-12,2
2013-11-13,1
2013-11-14,1
2013-11-15,0
2013-11-16,0
2013-11-17,13
2013-11-18,8
2013-11-19,3
2013-11-20,0
2013-11-21,3
2013-11-22,0
2013-11-23,0
2013-11-24,0
2013-11-25,1
2013-11-26,0
2013-11-27,0
2013-11-28,1
2013-11-29,2
2013-11-30,1
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,3
2013-12-05,0
2013-12-06,57
2013-12-07,0
2013-12-08,23
2013-12-09,24
2013-12-10,25
2013-12-11,26
2013-12-12,27
2013-12-13,28
2013-12-14,29
2013-12-15,30
2013-12-16,31
2013-12-17,32
2013-12-18,33
2013-12-19,34
2013-12-20,35
2013-12-21,36
2013-12-22,37
2013-12-23,38
2013-12-24,39
2013-12-25,40
2013-12-26,41
2013-12-27,42
2013-12-28,43
2013-12-29,44
2013-12-30,45
2013-12-31,46
2014-01-01,47
2014-01-02,48
2014-01-03,49
2014-01-04,50
2014-01-05,51
2014-01-06,52
2014-01-07,53
2014-01-08,54
2014-01-09,55
2014-01-10,56
2014-01-11,57
2014-01-12,58
2014-01-13,59
2014-01-14,60
2014-01-15,61
2014-01-16,62
2014-01-17,63
2014-01-18,64
2014-01-19,65
2014-01-20,66
2014-01-21,67
2014-01-22,68
2014-01-23,69
2014-01-24,70
2014-01-25,71
2014-01-26,72
2014-01-27,73
2014-01-28,74
2014-01-29,75
2014-01-30,76
2014-01-31,77
2014-02-01,78
2014-02-02,79
2014-02-03,80
2014-02-04,81
2014-02-05,82
2014-02-06,83
2014-02-07,84
2014-02-08,85
2014-02-09,86
2014-02-10,87
2014-02-11,88
2014-02-12,89
2014-02-13,90
2014-02-14,91
2014-02-15,92
2014-02-16,93
2014-02-17,94
2014-02-18,95
2014-02-19,96
2014-02-20,97
2014-02-21,98
2014-02-22,99
2014-02-23,100
2014-02-24,101
2014-02-25,102
2014-02-26,103
2014-02-27,104
2014-02-28,105
2014-03-01,106
2014-03-02,107
2014-03-03,108
2014-03-04,109
2014-03-05,110
2014-03-06,111
2014-03-07,112
2014-03-08,113
2014-03-09,114
2014-03-10,115
2014-03-11,116
2014-03-12,117
2014-03-13,118
2014-03-14,119
2014-03-15,120
2014-03-16,121
2014-03-17,122
2014-03-18,123
2014-03-19,124
2014-03-20,125
2014-03-21,126
2014-03-22,127
2014-03-23,128
2014-03-24,129
2014-03-25,130
2014-03-26,131
2014-03-27,132
2014-03-28,133
2014-03-29,134
2014-03-30,135
2014-03-31,136
2014-04-01,137
2014-04-02,138
2014-04-03,139
2014-04-04,140
2014-04-05,141
2014-04-06,142
2014-04-07,143
2014-04-08,144
2014-04-09,145
2014-04-10,146
2014-04-11,147
2014-04-12,148
2014-04-13,149
2014-04-14,150
2014-04-15,151
2014-04-16,152
2014-04-17,153
2014-04-18,154
2014-04-19,155
