Date,Mosq
2011-05-04,0
2011-05-05,0
2011-05-06,1
2011-05-07,0
2011-05-08,0
2011-05-09,2
2011-05-10,2
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,12
2011-05-16,0
2011-05-17,1
2011-05-18,19
2011-05-19,0
2011-05-20,265
2011-05-21,10
2011-05-22,6
2011-05-23,2
2011-05-24,16
2011-05-25,14
2011-05-26,5
2011-05-27,106
2011-05-28,13
2011-05-29,11
2011-05-30,31
2011-05-31,17
2011-06-01,22
2011-06-02,156
2011-06-03,4
2011-06-04,2
2011-06-05,0
2011-06-06,0
2011-06-07,9
2011-06-08,12
2011-06-09,23
2011-06-10,44
2011-06-11,38
2011-06-12,25
2011-06-13,1
2011-06-14,21
2011-06-15,14
2011-06-16,6
2011-06-17,18
2011-06-18,12
2011-06-19,21
2011-06-20,18
2011-06-21,45
2011-06-22,24
2011-06-23,27
2011-06-24,19
2011-06-25,79
2011-06-26,813
2011-06-27,8081
2011-06-28,7479
2011-06-29,11259
2011-06-30,10826
2011-07-01,5085
2011-07-02,7755
2011-07-03,1485
2011-07-04,6268
2011-07-05,3200
2011-07-06,4
2011-07-07,1
2011-07-08,5
2011-07-09,5
2011-07-10,11
2011-07-11,4
2011-07-12,5
2011-07-13,4
2011-07-14,1
2011-07-15,0
2011-07-16,6
2011-07-17,4
2011-07-18,6
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,4
2011-07-23,0
2011-07-24,0
2011-07-25,3
2011-07-26,23
2011-07-27,9
2011-07-28,8
2011-07-29,2
2011-07-30,3
2011-07-31,2
2011-08-01,7
2011-08-02,3
2011-08-03,3
2011-08-04,4
2011-08-05,5
2011-08-06,17
2011-08-07,6
2011-08-08,0
2011-08-09,0
2011-08-10,7
2011-08-11,7
2011-08-12,8
2011-08-13,3
2011-08-14,3
2011-08-15,2
2011-08-16,6
2011-08-17,3
2011-08-18,22
2011-08-19,17
2011-08-20,21
2011-08-21,30
2011-08-22,25
2011-08-23,13
2011-08-24,21
2011-08-25,31
2011-08-26,22
2011-08-27,40
2011-08-28,29
2011-08-29,34
2011-08-30,43
2011-08-31,25
2011-09-01,39
2011-09-02,22
2011-09-03,35
2011-09-04,35
2011-09-05,48
2011-09-06,50
2011-09-07,23
2011-09-08,30
2011-09-09,49
2011-09-10,47
2011-09-11,47
2011-09-12,39
2011-09-13,58
2011-09-14,71
2011-09-15,50
2011-09-16,19
2011-09-17,50
2011-09-18,44
2011-09-19,27
2011-09-20,9
2011-09-21,2
2011-09-22,4
2011-09-23,1
2011-09-24,2
2011-09-25,1
2011-09-26,0
2011-09-27,7
2011-09-28,26
2011-09-29,19
2011-09-30,17
2011-10-01,13
2011-10-02,9
2011-10-03,8
2011-10-04,6
2011-10-05,5
2011-10-06,11
2011-10-07,6
2011-10-08,0
2011-10-09,12
2011-10-10,2
2011-10-11,0
2011-10-12,8
2011-10-13,9
2011-10-14,15
2011-10-15,12
2011-10-16,7
2011-10-17,0
2011-10-18,1
2011-10-19,1
2011-10-20,2
2011-10-21,4
2011-10-22,2
2011-10-23,4
2011-10-24,0
2011-10-25,0
2011-10-26,1
2011-10-27,1
2011-10-28,1
2011-10-29,2
2011-10-30,2
2011-10-31,0
2011-11-01,0
2011-11-02,1
2011-11-03,0
2011-11-04,1
2011-11-05,3
2011-11-06,220
2011-11-07,1
2011-11-08,1
2011-11-09,1
2011-11-10,0
2011-11-11,1
2011-11-12,2
2011-11-13,1
2011-11-14,1
2011-11-15,2
2011-11-16,1
2011-11-17,1
2011-11-18,1
2011-11-19,2
2011-11-20,6
2011-11-21,4
2011-11-22,2
2011-11-23,2
2011-11-24,2
2011-11-25,0
2011-11-26,1
2011-11-27,1
2011-11-28,0
2011-11-29,6
2011-11-30,4
2011-12-01,2
2011-12-02,1
2011-12-03,1
2011-12-04,3
2011-12-05,2
2011-12-06,6
2011-12-07,6
2011-12-08,5
2011-12-09,4
2011-12-10,15
2011-12-11,9
2011-12-12,7
2011-12-13,8
2011-12-14,2
2011-12-15,3
2011-12-16,4
2011-12-17,5
2011-12-18,123
2011-12-19,3
2011-12-20,10
2011-12-21,5
2011-12-22,3
2011-12-23,1
2011-12-24,0
2011-12-25,20
2011-12-26,0
2011-12-27,4
2011-12-28,0
2011-12-29,0
2011-12-30,4
2011-12-31,6
2012-01-01,0
2012-01-02,1
2012-01-03,0
2012-01-04,3
2012-01-05,5
2012-01-06,40
2012-01-07,19
2012-01-08,55
2012-01-09,51
2012-01-10,20
2012-01-11,10
2012-01-12,10
2012-01-13,25
2012-01-14,20
2012-01-15,26
2012-01-16,21
2012-01-17,12
2012-01-18,22
2012-01-19,27
2012-01-20,17
2012-01-21,11
2012-01-22,8
2012-01-23,24
2012-01-24,21
2012-01-25,17
2012-01-26,3
2012-01-27,15
2012-01-28,11
2012-01-29,11
2012-01-30,13858
2012-01-31,12
2012-02-01,18
2012-02-02,5
2012-02-03,0
2012-02-04,7
2012-02-05,1
2012-02-06,5
2012-02-07,2
2012-02-08,2
2012-02-09,2
2012-02-10,3
2012-02-11,6
2012-02-12,8
2012-02-13,7
2012-02-14,3
2012-02-15,14
2012-02-16,6
2012-02-17,89
2012-02-18,206
2012-02-19,3
2012-02-20,9
2012-02-21,84
2012-02-22,21
2012-02-23,35
2012-02-24,2
2012-02-25,6
2012-02-26,3
2012-02-27,7
2012-02-28,78
2012-02-29,3
2012-03-01,8
2012-03-02,22
2012-03-03,12
2012-03-04,25
2012-03-05,101
2012-03-06,124
2012-03-07,5
2012-03-08,14
2012-03-09,11
2012-03-10,11
2012-03-11,12
2012-03-12,4
2012-03-13,21
2012-03-14,11
2012-03-15,11
2012-03-16,14
2012-03-17,12
2012-03-18,47
2012-03-19,33
2012-03-20,23
2012-03-21,21
2012-03-22,21
2012-03-23,24
2012-03-24,11
2012-03-25,11
2012-03-26,19
2012-03-27,12
2012-03-28,17
2012-03-29,11
2012-03-30,11
2012-03-31,6
2012-04-01,12
2012-04-02,16
2012-04-03,12
2012-04-04,0
2012-04-05,0
2012-04-06,403
2012-04-07,1115
2012-04-08,141
2012-04-09,148
2012-04-10,221
2012-04-11,165
2012-04-12,291
2012-04-13,263
2012-04-14,336
2012-04-15,0
2012-04-16,368
2012-04-17,376
2012-04-18,216
2012-04-19,386
2012-04-20,261
2012-04-21,270
2012-04-22,690
2012-04-23,402
2012-04-24,310
2012-04-25,402
2012-04-26,444
2012-04-27,329
2012-04-28,391
2012-04-29,77
2012-04-30,34
2012-05-01,16
2012-05-02,174
2012-05-03,118
2012-05-04,106
2012-05-05,112
2012-05-06,3495
2012-05-07,1373
2012-05-08,83
2012-05-09,114
2012-05-10,137
2012-05-11,191
2012-05-12,161
2012-05-13,265
2012-05-14,164
2012-05-15,355
2012-05-16,4974
2012-05-17,15755
2012-05-18,17747
2012-05-19,8759
2012-05-20,44759
2012-05-21,33957
2012-05-22,29187
2012-05-23,29139
2012-05-24,31453
2012-05-25,7450
2012-05-26,152
2012-05-27,412
2012-05-28,833
