Date,Mosq
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,10
2011-05-18,5
2011-05-19,8
2011-05-20,8
2011-05-21,18
2011-05-22,36
2011-05-23,7
2011-05-24,6
2011-05-25,6
2011-05-26,11
2011-05-27,0
2011-05-28,3
2011-05-29,23
2011-05-30,3
2011-05-31,6
2011-06-01,1
2011-06-02,2
2011-06-03,4
2011-06-04,25
2011-06-05,1
2011-06-06,34
2011-06-07,1
2011-06-08,1
2011-06-09,3
2011-06-10,1
2011-06-11,4
2011-06-12,3
2011-06-13,21
2011-06-14,35
2011-06-15,21
2011-06-16,41
2011-06-17,31
2011-06-18,0
2011-06-19,8
2011-06-20,7
2011-06-21,18
2011-06-22,12
2011-06-23,9
2011-06-24,14
2011-06-25,20
2011-06-26,26
2011-06-27,6
2011-06-28,2
2011-06-29,13
2011-06-30,385
2011-07-01,3
2011-07-02,3
2011-07-03,3
2011-07-04,4
2011-07-05,1
2011-07-06,2
2011-07-07,11
2011-07-08,54
2011-07-09,35
2011-07-10,52
2011-07-11,36
2011-07-12,11
2011-07-13,20
2011-07-14,21
2011-07-15,18
2011-07-16,9
2011-07-17,25
2011-07-18,11
2011-07-19,20
2011-07-20,46
2011-07-21,17
2011-07-22,24
2011-07-23,15
2011-07-24,4
2011-07-25,14
2011-07-26,6
2011-07-27,11
2011-07-28,6
2011-07-29,10
2011-07-30,0
2011-07-31,1
2011-08-01,4
2011-08-02,2
2011-08-03,4
2011-08-04,3
2011-08-05,1
2011-08-06,0
2011-08-07,5
2011-08-08,8
2011-08-09,6
2011-08-10,3
2011-08-11,2
2011-08-12,3
2011-08-13,17
2011-08-14,5
2011-08-15,55
2011-08-16,63
2011-08-17,75
2011-08-18,74
2011-08-19,46
2011-08-20,34
2011-08-21,52
2011-08-22,60
2011-08-23,81
2011-08-24,96
2011-08-25,76
2011-08-26,91
2011-08-27,119
2011-08-28,82
2011-08-29,88
2011-08-30,30
2011-08-31,116
2011-09-01,76
2011-09-02,111
2011-09-03,87
2011-09-04,47
2011-09-05,100
2011-09-06,100
2011-09-07,94
2011-09-08,103
2011-09-09,6
2011-09-10,61
2011-09-11,59
2011-09-12,70
2011-09-13,44
2011-09-14,68
2011-09-15,63
2011-09-16,60
2011-09-17,78
2011-09-18,59
2011-09-19,7
2011-09-20,0
2011-09-21,3
2011-09-22,1
2011-09-23,0
2011-09-24,0
2011-09-25,25
2011-09-26,23
2011-09-27,13
2011-09-28,5
2011-09-29,4
2011-09-30,5
2011-10-01,4
2011-10-02,4
2011-10-03,5
2011-10-04,2
2011-10-05,1
2011-10-06,6
2011-10-07,1
2011-10-08,4
2011-10-09,1
2011-10-10,2
2011-10-11,7
2011-10-12,0
2011-10-13,4
2011-10-14,0
2011-10-15,0
2011-10-16,1
2011-10-17,2
2011-10-18,4
2011-10-19,0
2011-10-20,2
2011-10-21,2
2011-10-22,1
2011-10-23,0
2011-10-24,7
2011-10-25,1
2011-10-26,6
2011-10-27,1
2011-10-28,5
2011-10-29,0
2011-10-30,1
2011-10-31,3
2011-11-01,5
2011-11-02,4
2011-11-03,2
2011-11-04,21
2011-11-05,3
2011-11-06,9
2011-11-07,0
2011-11-08,4
2011-11-09,4
2011-11-10,5
2011-11-11,8
2011-11-12,9
2011-11-13,8
2011-11-14,8
2011-11-15,6
2011-11-16,8
2011-11-17,8
2011-11-18,10
2011-11-19,9
2011-11-20,4
2011-11-21,3
2011-11-22,5
2011-11-23,4
2011-11-24,3
2011-11-25,3
2011-11-26,4
2011-11-27,7
2011-11-28,9
2011-11-29,4
2011-11-30,8
2011-12-01,5
2011-12-02,5
2011-12-03,20
2011-12-04,10
2011-12-05,13
2011-12-06,13
2011-12-07,16
2011-12-08,21
2011-12-09,25
2011-12-10,557
2011-12-11,7
2011-12-12,4
2011-12-13,1
2011-12-14,1
2011-12-15,0
2011-12-16,0
2011-12-17,0
2011-12-18,0
2011-12-19,1
2011-12-20,0
2011-12-21,0
2011-12-22,3
2011-12-23,7
2011-12-24,8
2011-12-25,4
2011-12-26,6
2011-12-27,3
2011-12-28,2
2011-12-29,4
2011-12-30,1
2011-12-31,1
2012-01-01,0
2012-01-02,2
2012-01-03,3
2012-01-04,7
2012-01-05,2
2012-01-06,4
2012-01-07,4
2012-01-08,138
2012-01-09,65
2012-01-10,53
2012-01-11,81
2012-01-12,107
2012-01-13,79
2012-01-14,173
2012-01-15,100
2012-01-16,74
2012-01-17,117
2012-01-18,85
2012-01-19,95
2012-01-20,128
2012-01-21,116
2012-01-22,62
2012-01-23,104
2012-01-24,70
2012-01-25,20
2012-01-26,51
2012-01-27,60
2012-01-28,9
2012-01-29,107
2012-01-30,594
2012-01-31,0
2012-02-01,12
2012-02-02,24
2012-02-03,23
2012-02-04,48
2012-02-05,73
2012-02-06,11
2012-02-07,16
2012-02-08,31
2012-02-09,32
2012-02-10,38
2012-02-11,43
2012-02-12,6
2012-02-13,15
2012-02-14,24
2012-02-15,63
2012-02-16,30
2012-02-17,41
2012-02-18,36
2012-02-19,30
2012-02-20,28
2012-02-21,19
2012-02-22,10
2012-02-23,28
2012-02-24,28
2012-02-25,31
2012-02-26,20
2012-02-27,6
2012-02-28,14
2012-02-29,7
2012-03-01,24
2012-03-02,40
2012-03-03,27
2012-03-04,27
2012-03-05,39
2012-03-06,32
2012-03-07,41
2012-03-08,50
2012-03-09,39
2012-03-10,28
2012-03-11,34
2012-03-12,50
2012-03-13,42
2012-03-14,43
2012-03-15,40
2012-03-16,15
2012-03-17,19
2012-03-18,39
2012-03-19,38
2012-03-20,28
2012-03-21,21
2012-03-22,36
2012-03-23,106
2012-03-24,36
2012-03-25,31
2012-03-26,14
2012-03-27,19
2012-03-28,15
2012-03-29,15
2012-03-30,13
2012-03-31,32
2012-04-01,0
2012-04-02,8
2012-04-03,88
2012-04-04,119
2012-04-05,112
2012-04-06,96
2012-04-07,97
2012-04-08,96
2012-04-09,119
2012-04-10,132
2012-04-11,176
2012-04-12,0
2012-04-13,123
2012-04-14,201
2012-04-15,116
2012-04-16,168
2012-04-17,46
2012-04-18,1601
2012-04-19,43
2012-04-20,33
2012-04-21,29
2012-04-22,43
2012-04-23,32
2012-04-24,22
2012-04-25,23
2012-04-26,35
2012-04-27,37
2012-04-28,48
2012-04-29,18
2012-04-30,28
2012-05-01,30
2012-05-02,284
2012-05-03,35
2012-05-04,45
2012-05-05,33
2012-05-06,28
2012-05-07,30
2012-05-08,33
2012-05-09,27
2012-05-10,27
2012-05-11,16
2012-05-12,27
2012-05-13,20
2012-05-14,26
2012-05-15,36
2012-05-16,18
2012-05-17,27
2012-05-18,26
2012-05-19,32
2012-05-20,17
2012-05-21,23
2012-05-22,21
2012-05-23,18
2012-05-24,18
2012-05-25,11
2012-05-26,4
2012-05-27,13
2012-05-28,13
2012-05-29,42
2012-05-30,22
