Date,Mosq
2014-05-01,22
2014-05-02,6
2014-05-03,5
2014-05-04,6
2014-05-05,3
2014-05-06,5
2014-05-07,9
2014-05-08,14
2014-05-09,3
2014-05-10,10
2014-05-11,9
2014-05-12,3
2014-05-13,8
2014-05-14,17
2014-05-15,14
2014-05-16,10
2014-05-17,18
2014-05-18,31
2014-05-19,27
2014-05-20,10
2014-05-21,15
2014-05-22,16
2014-05-23,7
2014-05-24,4
2014-05-25,3
2014-05-26,2
2014-05-27,3
2014-05-28,6
2014-05-29,9
2014-05-30,3
2014-05-31,3
2014-06-01,1
2014-06-02,4
2014-06-03,2
2014-06-04,3
2014-06-05,4
2014-06-06,2
2014-06-07,6
2014-06-08,3
2014-06-09,13
2014-06-10,21
2014-06-11,8
2014-06-12,5
2014-06-13,13
2014-06-14,30
2014-06-15,36
2014-06-16,20
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,1
2014-11-05,41
2014-11-06,27
2014-11-07,2
2014-11-08,25
2014-11-09,10
2014-11-10,9
2014-11-11,15
2014-11-12,8
2014-11-13,11
2014-11-14,13
2014-11-15,36
2014-11-16,38
2014-11-17,55
2014-11-18,48
2014-11-19,42
2014-11-20,50
2014-11-21,37
2014-11-22,28
2014-11-23,18
2014-11-24,51
2014-11-25,25
2014-11-26,26
2014-11-27,60
2014-11-28,64
2014-11-29,61
2014-11-30,32
2014-12-01,39
2014-12-02,37
2014-12-03,29
2014-12-04,24
2014-12-05,53
2014-12-06,33
2014-12-07,45
2014-12-08,50
2014-12-09,59
2014-12-10,104
2014-12-11,175
2014-12-12,210
2014-12-13,130
2014-12-14,152
2014-12-15,98
2014-12-16,208
2014-12-17,294
2014-12-18,158
2014-12-19,259
2014-12-20,224
2014-12-21,126
2014-12-22,240
2014-12-23,232
2014-12-24,198
2014-12-25,285
2014-12-26,126
2014-12-27,224
2014-12-28,270
2014-12-29,186
2014-12-30,141
2014-12-31,95
2015-01-01,148
2015-01-02,166
2015-01-03,242
2015-01-04,1270
2015-01-05,307
2015-01-06,392
2015-01-07,341
2015-01-08,371
2015-01-09,368
2015-01-10,297
2015-01-11,7
2015-01-12,62
2015-01-13,123
2015-01-14,162
2015-01-15,143
2015-01-16,118
2015-01-17,48
2015-01-18,88
2015-01-19,39
2015-01-20,24
2015-01-21,2
2015-01-22,1
2015-01-23,13
2015-01-24,10
2015-01-25,8
2015-01-26,3
2015-01-27,19
2015-01-28,11
2015-01-29,10
2015-01-30,7
2015-01-31,6
2015-02-01,6
2015-02-02,9
2015-02-03,3
2015-02-04,0
2015-02-05,5
2015-02-06,18
2015-02-07,21
2015-02-08,21
2015-02-09,47
2015-02-10,55
2015-02-11,30
2015-02-12,23
2015-02-13,24
2015-02-14,52
2015-02-15,191
2015-02-16,43
2015-02-17,36
2015-02-18,35
2015-02-19,42
2015-02-20,15
2015-02-21,15
2015-02-22,34
2015-02-23,35
2015-02-24,58
2015-02-25,40
2015-02-26,12
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,1
2015-03-03,2
2015-03-04,3
2015-03-05,16
2015-03-06,46
2015-03-07,25
2015-03-08,39
2015-03-09,21
2015-03-10,19
2015-03-11,33
2015-03-12,11
2015-03-13,3
2015-03-14,11
2015-03-15,6
2015-03-16,6
2015-03-17,12
2015-03-18,5
